ID.10,fluxes_cobra
r_0006,0.0051388791740701
r_0226,1.50033282823328
r_0263,0.0
r_0264,4.16281804687826e-31
r_0265,-4.11604481039648e-31
r_0266,0.0
r_0357,0.0
r_0439,0.614404820208235
r_0478,0.00101644144867468
r_0539,0.000620353163313069
r_0540,0.0
r_0920,0.0
r_0992,0.0
r_1028,0.0
r_1085,0.0
r_1086,0.0
r_1096,0.0
r_1097,0.0
r_1099,0.00123195653769983
r_1100,0.0
r_1101,0.0
r_1102,0.0
r_1103,0.0
r_1104,0.0
r_1106,0.000744522288364121
r_1107,0.0
r_1108,0.0
r_1109,0.0
r_1110,1.58622579607817
r_1111,0.0
r_1112,0.00529511957280335
r_1113,0.0
r_1114,0.0
r_1115,0.0
r_1116,-5.8724547779257e-17
r_1118,0.133182429378867
r_1119,0.0
r_1120,0.0
r_1121,0.0
r_1122,0.0
r_1123,0.0
r_1124,0.0
r_1125,0.0
r_1129,6.73965071133932e-17
r_1130,9.47700535886783e-06
r_1131,0.0
r_1132,0.0
r_1133,0.0
r_1134,0.0
r_1135,0.0
r_1136,0.0
r_1137,0.0
r_1138,0.0
r_1139,0.0
r_1149,0.0
r_1151,0.0
r_1165,0.0
r_1166,0.152002161271543
r_1167,0.0
r_1169,0.0
r_1170,0.0
r_1171,0.0
r_1172,0.0
r_1173,0.0
r_1174,0.0
r_1175,0.0
r_1176,0.0
r_1177,0.0
r_1178,0.0
r_1179,0.0
r_1180,0.0
r_1181,0.0
r_1182,0.0
r_1183,0.0
r_1184,0.0
r_1185,0.0
r_1186,0.0
r_1187,0.0
r_1188,0.0
r_1189,0.0
r_1190,0.0
r_1191,0.0
r_1192,0.0
r_1193,0.0
r_1194,0.00558612178886745
r_1195,0.0
r_1196,0.0
r_1197,0.0
r_1198,0.0
r_1199,0.0
r_1200,0.0
r_1201,0.0
r_1202,0.0
r_1203,0.0
r_1204,0.0
r_1205,0.0
r_1206,0.0
r_1207,0.0
r_1208,0.0
r_1209,0.0
r_1210,0.0
r_1211,0.0
r_1212,0.0
r_1213,0.0
r_1214,0.0
r_1215,0.0
r_1216,0.0
r_1217,0.0
r_1218,0.0
r_1219,0.0
r_1220,0.0
r_1221,0.0
r_1222,0.0
r_1223,0.0
r_1224,0.0
r_1226,0.0
r_1227,0.0
r_1229,8.82014836355289e-17
r_1230,0.0
r_1231,-4.30796807166893e-19
r_1232,0.0
r_1235,0.0
r_1236,-5.87245477792569e-17
r_1237,0.00192231946502665
r_1238,0.0
r_1239,0.0
r_1241,0.0
r_1242,0.0
r_1244,0.00341902354051744
r_1245,1.41608816874905
r_1249,0.0
r_1251,0.0
r_1252,0.0
r_1253,0.0
r_1254,0.0
r_1255,0.0
r_1256,0.0
r_1257,0.0
r_1258,0.0
r_1260,0.0
r_1261,0.0
r_1262,0.0
r_1263,0.0
r_1264,0.0
r_1265,0.00655675772302634
r_1266,0.00101381538339571
r_1267,0.0
r_1268,0.0
r_1270,0.0
r_1271,0.0
r_1272,0.0
r_1273,0.0244216028232699
r_1274,0.0
r_1275,0.0
r_1276,0.0
r_1277,0.0
r_1278,0.0
r_1542,0.0
r_1543,0.0
r_1545,2.35793307472944e-30
r_1546,0.0
r_1547,0.0
r_1548,0.0
r_1549,0.0
r_1550,0.0
r_1551,0.0
r_1552,0.0
r_1553,0.0
r_1560,0.0
r_1562,4.5376585496367e-05
r_1563,0.0
r_1565,0.0
r_1567,0.0
r_1568,0.0
r_1572,0.0
r_1573,0.0
r_1574,0.0
r_1575,0.0
r_1576,0.0
r_1577,0.0
r_1578,0.0
r_1579,0.0
r_1580,0.0
r_1582,0.0
r_1583,0.0
r_1585,0.000997716442268257
r_1586,0.0
r_1587,0.0
r_1588,0.0
r_1589,0.0
r_1590,0.0
r_1591,0.0
r_1595,0.0
r_1596,0.0
r_1597,0.0
r_1598,0.0
r_1599,0.0
r_1600,0.0
r_1601,0.0
r_1603,0.0
r_1604,0.0
r_1605,0.0
r_1606,0.0
r_1607,4.87929989734435e-30
r_1608,-8.01304409867449e-31
r_1609,0.0
r_1610,0.0
r_1611,0.0
r_1621,0.0
r_1622,0.0
r_1625,0.0
r_1627,0.0
r_1628,0.0
r_1629,0.0
r_1630,0.0
r_1631,0.0
r_1632,0.0
r_1633,0.0
r_1634,0.000744522288364121
r_1635,0.0
r_1637,0.0
r_1638,0.0
r_1639,0.0
r_1640,0.0
r_1641,0.0
r_1642,0.0
r_1643,0.0
r_1644,0.0
r_1645,0.0
r_1647,0.0
r_1648,0.0
r_1649,0.0
r_1650,0.0
r_1651,0.0
r_1652,0.0
r_1654,0.0
r_1656,0.0
r_1657,0.0
r_1658,0.0
r_1659,0.0
r_1660,0.0
r_1661,0.0
r_1669,0.0
r_1671,0.0
r_1672,0.383891233263788
r_1673,0.0
r_1674,-1.17448911278263e-16
r_1675,0.0
r_1676,0.0
r_1677,0.0
r_1678,0.0
r_1679,0.0
r_1680,0.0
r_1681,0.0
r_1683,0.0
r_1684,2.87704628977695e-05
r_1686,0.0
r_1687,0.0
r_1688,0.0
r_1689,0.0
r_1691,0.0
r_1694,0.0
r_1695,0.0
r_1696,0.0
r_1697,0.383891233263788
r_1698,-4.67732364817782e-33
r_1699,0.0
r_1700,0.0
r_1702,0.0
r_1705,0.0
r_1706,0.0
r_1707,0.0
r_1708,0.0
r_1709,0.0
r_1710,0.0
r_1711,0.0
r_1712,0.0
r_1713,0.0
r_1714,0.0
r_1715,0.0
r_1716,0.0
r_1717,0.0
r_1718,0.0
r_1719,0.0
r_1720,0.0
r_1721,0.0
r_1726,0.0
r_1727,0.0
r_1728,0.0
r_1733,0.0
r_1737,0.0
r_1738,0.0
r_1743,0.0
r_1745,0.0
r_1746,0.0
r_1747,0.0
r_1748,0.0
r_1749,0.0
r_1750,0.0
r_1751,0.0
r_1752,0.0
r_1753,0.0
r_1754,0.0
r_1757,0.0
r_1758,0.0
r_1759,0.0
r_1760,0.0
r_1761,0.0
r_1762,0.0
r_1763,0.0
r_1764,0.0
r_1765,0.0
r_1766,0.0
r_1770,0.0
r_1774,0.0
r_1775,0.0
r_1788,0.0
r_1791,0.0
r_1793,0.0
r_1794,0.00113803261960401
r_1795,0.0
r_1796,0.0
r_1798,0.0
r_1800,0.0
r_1801,0.0
r_1802,0.0
r_1803,0.0
r_1805,0.0
r_1806,0.0
r_1807,0.0
r_1808,0.0
r_1809,0.0
r_1810,0.0
r_1811,0.00707019821161942
r_1812,0.0
r_1813,0.0
r_1814,0.0
r_1815,0.0
r_1816,0.0
r_1817,0.0
r_1818,0.0
r_1819,0.0
r_1820,0.0
r_1822,0.0
r_1823,0.0
r_1824,0.0
r_1825,0.0
r_1826,0.0
r_1827,0.0
r_1829,0.0
r_1830,0.0
r_1831,0.0
r_1832,0.0
r_1833,4.15030697342296e-31
r_1835,0.0
r_1836,0.0
r_1837,0.0
r_1839,0.0
r_1840,-3.21337157390517e-31
r_1841,0.0
r_1842,0.0
r_1843,0.0
r_1844,0.0
r_1845,0.0
r_1846,0.0
r_1847,0.0
r_1848,0.0
r_1849,0.0
r_1851,0.0
r_1852,0.0
r_1853,0.0
r_1854,0.0
r_1855,0.0
r_1856,0.0
r_1857,0.0
r_1858,0.0
r_1859,0.0
r_1860,0.0
r_1861,0.0
r_1862,0.0
r_1863,0.0
r_1864,0.0
r_1865,0.0
r_1866,0.0
r_1867,0.0
r_1868,0.0
r_1869,0.0
r_1870,0.0
r_1873,0.0
r_1874,0.0
r_1875,0.0
r_1876,0.0
r_1877,0.0
r_1878,0.0
r_1879,0.0
r_1880,0.0
r_1881,0.0
r_1882,-2.29704012347516e-30
r_1883,0.0
r_1884,0.0
r_1885,0.0
r_1886,0.0
r_1887,0.00202504931668759
r_1889,0.0
r_1890,0.0
r_1891,0.0
r_1892,0.0
r_1893,0.0
r_1895,0.0
r_1896,0.0
r_1897,0.0
r_1898,0.0
r_1899,0.0
r_1900,0.0
r_1901,0.0
r_1902,0.0
r_1903,0.0
r_1904,0.0
r_1905,0.0
r_1906,0.0
r_1907,0.0
r_1908,0.0
r_1909,0.0
r_1910,0.0
r_1911,0.0
r_1912,0.0
r_1913,0.0
r_1914,0.0
r_1915,0.0
r_1919,0.0
r_1920,0.0
r_1921,0.0
r_1922,0.0
r_1923,0.0
r_1924,0.0
r_1925,0.0
r_1926,0.0
r_1927,0.0
r_1928,0.0
r_1929,0.0
r_1930,-5.87244249257589e-17
r_1931,0.0
r_1932,0.0
r_1935,0.0
r_1937,0.0
r_1938,0.0
r_1939,0.0
r_1940,0.0
r_1941,0.0
r_1942,0.0
r_1943,0.0
r_1944,0.0
r_1945,0.0
r_1946,0.0
r_1947,0.0
r_1963,4.12194210533252e-31
r_1964,0.0
r_1965,0.0
r_1966,0.0
r_1967,0.0
r_1968,0.0
r_1970,0.0
r_1971,0.0
r_1972,0.0
r_1976,0.0
r_1977,0.0
r_1978,0.307202423568772
r_1979,0.314392782682177
r_1980,0.0
r_1981,0.0
r_1987,0.0
r_1988,0.0
r_1989,0.0
r_1990,0.0
r_1991,0.0
r_1992,0.0
r_1993,0.0
r_1994,0.0
r_1995,0.0
r_1996,0.0
r_1998,0.0
r_1999,0.0
r_2001,0.0
r_2002,0.0
r_2003,0.0
r_2004,0.0
r_2005,0.0
r_2008,0.0
r_2020,0.0
r_2022,0.0
r_2023,0.0
r_2024,0.0
r_2028,0.0
r_2030,1.33300082040637e-05
r_2032,0.0850569539432045
r_2033,0.0
r_2034,0.109849418468105
r_2036,0.0
r_2037,0.0
r_2038,0.0
r_2039,0.0
r_2040,0.0
r_2041,0.0
r_2042,0.0
r_2043,0.0
r_2044,0.0
r_2045,0.0
r_2046,0.000810768249352463
r_2049,0.0
r_2051,0.0
r_2052,0.0
r_2053,-6.73232737578972e-09
r_2054,0.0
r_2055,0.0
r_2056,0.0
r_2057,0.0
r_2058,0.0
r_2060,0.0
r_2061,0.0
r_2062,0.0
r_2063,0.0
r_2066,0.0
r_2067,0.0
r_2068,0.0
r_2072,0.0
r_2079,0.0
r_2080,0.0
r_2082,0.0
r_2083,0.0
r_2084,0.0
r_2085,0.0
r_2086,0.0
r_2087,0.0
r_2089,0.0
r_2090,0.0
r_2091,0.0
r_2092,0.0
r_2093,0.0
r_2094,0.0
r_2095,0.0
r_2096,0.0
r_2097,0.0
r_2098,0.0
r_2099,0.0
r_2100,0.493741305387214
r_2101,0.0
r_2104,0.0
r_2105,0.0
r_2106,1.91579653310157e-19
r_2107,-1.91579653310157e-19
r_2108,0.0134646547515795
r_2111,0.0134646547515795
r_2125,0.0
r_2129,0.0
r_2132,0.150134947710683
r_2134,0.0
r_2136,0.0
r_2137,0.0
r_2139,0.0
r_2185,0.0
r_2187,0.0
r_2188,5.87244863525068e-17
r_2189,0.0
r_2190,0.0
r_2191,0.0
r_2192,0.0
r_2229,0.0
r_2230,0.0
r_2231,0.0
r_2353,0.0
r_2357,0.0
r_2600,0.0
r_2704,0.0
r_2813,9.47700535886783e-06
r_2817,0.0
r_3102,0.0
r_3116,0.0
r_3118,0.0
r_3140,0.0
r_3142,0.0
r_3148,0.0
r_3150,-3.67544629015095e-35
r_3172,0.0
r_3174,0.0
r_3180,0.0
r_3182,0.0
r_3196,0.0
r_3198,-3.79433953067962e-35
r_3220,0.0
r_3222,0.0
r_3228,0.0
r_3230,0.0
r_3244,0.0
r_3246,0.0
r_3312,0.0
r_3314,0.0
r_3344,0.0
r_3346,0.0
r_3432,0.0
r_3434,0.0
r_3440,0.0
r_3442,0.0
r_3510,0.0
r_3511,0.0
r_3512,0.0
r_3513,0.0
r_3514,0.0
r_3515,0.0
r_3516,0.0
r_3517,0.00109392374168724
r_3518,0.0
r_3519,0.0048085055744761
r_3520,0.0
r_3521,0.0
r_3522,0.0
r_3523,-2.88610923003566e-30
r_3524,0.0
r_3525,0.00284842774587547
r_3526,0.0
r_3527,0.0
r_3528,0.0
r_3529,4.18314756739076e-31
r_3530,0.0
r_3531,0.00719036584573204
r_3532,0.00719036584573204
r_3533,0.0
r_3534,0.0021743263644138
r_3535,0.0
r_3536,0.0
r_3537,0.0
r_3538,0.00119016819143686
r_3539,-1.40820979200704e-35
r_3540,0.0
r_3541,0.0
r_3542,2.87704628977695e-05
r_3543,0.000615634754704993
r_3544,0.0
r_3545,0.00114479160594049
r_3546,4.5376585496367e-05
r_3547,0.00266286067535611
r_3548,0.0
r_3549,0.0
