uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2
M7XAY4	RHTO_02290	9.325713826393793e-05	0.0001011331370621916	2.031886357325958e-05	1.9930515753223634e-05
M7WQ86	RHTO_03745	1.4240982806898086e-05	1.3927772055202265e-05	6.821971268642038e-06	6.755754494302341e-06
M7XQ75	RHTO_00632	0.00012123978256424781	0.00011296043675899798	3.696864970032881e-05	3.716511756299455e-05
M7WZP5	RHTO_00545	2.398416460241979e-05	2.588794177808779e-05	8.821486405440979e-06	8.400661566882708e-06
M7X2E5	RHTO_06249	0.00012519078466617054	0.0001266618775173225	3.8964580736843774e-05	3.736102935218718e-05
M7WM05	RHTO_05617	8.868403827777748e-05	8.995754452926733e-05	2.1784431372265047e-05	2.0030609991555388e-05
M7WNZ9	RHTO_04058	1.4502283010434967e-05	1.7553160463538632e-05	7.88275646827544e-06	7.612738335892139e-06
M7X1K0	RHTO_06190	0.00013223239740439846	0.00013360297760763327	4.5231422299409954e-05	4.2110726386791986e-05
M7WNW6	RHTO_04325	5.967136810744458e-05	6.285739969290738e-05	1.2689089827514664e-05	1.1889803085060706e-05
M7XFU8	RHTO_05390	9.354437129708941e-05	7.345895792269157e-05	3.279279806239621e-05	3.2559460064900934e-05
M7XGB9	RHTO_05130	0.0001476163704882025	0.0001528151508017456	5.255486461195875e-05	4.9751649166677104e-05
M7X5J4	RHTO_05517	6.641542260246974e-05	7.113848040476345e-05	1.8540602672497826e-05	1.6698435661458865e-05
M7WUU3	RHTO_01695	2.9940027200876115e-05	2.9732143794864676e-05	5.532906658144075e-06	5.2202817685796185e-06
M7X0J3	RHTO_07359	6.439944637691966e-05	6.722596949888717e-05	2.9347147401763276e-05	2.8338508595311132e-05
M7X2T0	RHTO_04593	0.00011594768468029802	0.0001209840362318441	4.7544236549330475e-05	4.6104672886642514e-05
M7XBX1	RHTO_02115	9.046244432290506e-05	8.688468657569033e-05	4.325124929138865e-05	5.277615578621223e-05
M7X6Q2	RHTO_00469	0.0002005873201821985	0.0002043554160875367	8.68264228350184e-05	8.769062228596785e-05
M7XZM3	RHTO_00206	6.129913372450312e-05	6.951613546405296e-05	3.1328559149847845e-05	2.9404072286019833e-05
M7XRQ3	RHTO_07773	1.3701611746877757e-05	1.0669422445670654e-05	1.3256710809022273e-05	1.1676443433204066e-05
M7X2K5	RHTO_04740	7.655949407875058e-05	7.957215571558274e-05	2.0449542089489244e-05	2.0100102804557182e-05
M7XFR0	RHTO_08027	1.8617918123832926e-06	2.0347812972540872e-06	1.0603674890418101e-06	9.62915934013254e-07
M7XJ98	RHTO_07038	5.8818684770887344e-05	4.27356053679792e-05	3.39050196906827e-05	2.6780073042177756e-05
M7XVW7	RHTO_04566	2.0575233896983676e-05	2.1283881809369674e-05	5.8388753983368015e-06	5.45351490051621e-06
M7XJ56	RHTO_03737	9.727526314512926e-05	0.00011328455371905948	2.8120871429822642e-05	2.3830228074432344e-05
M7WNA8	RHTO_04326	7.895059618784472e-05	7.770135254179328e-05	2.2782060303934253e-05	2.342230695171349e-05
M7WPC7	RHTO_03965	5.5357271042374754e-05	5.3995644343605904e-05	1.1042239736123455e-05	1.0709202818596485e-05
M7WIG9	RHTO_03543	9.455897718421591e-06	9.994376215666645e-06	5.450662706325356e-06	5.516306513334241e-06
M7WR40	RHTO_07893	7.839332090316854e-06	8.692039501630004e-06	3.881108360861899e-06	4.006846850155709e-06
M7WR16	RHTO_07868	5.9751998277033375e-05	5.7707085044894455e-05	1.3144307935834656e-05	1.2735362409606847e-05
M7X2P0	RHTO_04775	3.0649269741695606e-06	3.2165215118484448e-06	1.8467076990004152e-06	1.8201145862708258e-06
M7WXT8	RHTO_03161	0.00010430298147526352	0.00010569135215668518	4.0175680058243436e-05	4.006141429954801e-05
M7WR01	RHTO_07853	1.1599753367722967e-05	1.1998471904295005e-05	5.6296177388975195e-06	5.157002714394009e-06
M7XFJ5	RHTO_05461	3.5926601613105695e-05	6.20262523593046e-05	0.00033441872298593795	0.0005303175570751916
M7XXD2	RHTO_05103	5.096444359151352e-05	4.758441683436763e-05	1.9935396231413468e-05	1.793158562002754e-05
M7XSC4	RHTO_07480	1.5625116517005778e-07	2.0257347225827502e-07	6.044484655281975e-08	5.038699029255355e-08
M7XM89	RHTO_02139	1.535788089058566e-07	1.9552315010493239e-07	1.9523839891794983e-07	1.9233630387905052e-07
M7WMX7	RHTO_04427	3.398971148798023e-05	2.6602285567579153e-05	1.6400835017857728e-05	1.4893008398437278e-05
M7XA66	RHTO_02577	0.00011303540862278484	0.00013673046232040722	3.884542503235684e-05	4.2262068436150874e-05
M7WP66	RHTO_04185	0.0001265942292313907	9.442015356143299e-05	0.00011313917624933867	0.0001068822386354106
M7WTN9	RHTO_01922	6.08571936712051e-05	7.32281193490403e-05	2.7909427399172162e-05	2.572178645068627e-05
M7WZ44	RHTO_07080	1.698701472954072e-05	1.4421349685642882e-05	4.951575336769238e-06	4.473481672633527e-06
M7XI84	RHTO_03896	1.282712248409794e-05	1.580330157905699e-05	4.506793153422796e-06	4.706327132807916e-06
M7X852	RHTO_04131	1.2413045146809696e-05	1.1152961567744434e-05	4.487747343664265e-06	4.237049557865465e-06
M7XE28	RHTO_01289	1.1103347918354158e-05	9.183089428516516e-06	4.013333497826152e-06	3.7815044369496016e-06
M7X3J1	RHTO_06581	4.957317100847388e-06	4.4400001039125085e-06	1.3857033544896325e-06	1.2347321858841173e-06
M7XRX0	RHTO_07843	4.813403957198217e-05	3.937501509905003e-05	2.9395657824290705e-05	2.6670500769770662e-05
M7WME7	RHTO_01329	1.679582743608355e-05	1.3229411312903992e-05	1.3633494147059476e-05	1.4485990136061102e-05
M7WH92	RHTO_04114	4.767212085383829e-05	4.839509519410135e-05	1.0680992025875106e-05	1.0042747598835136e-05
M7X560	RHTO_05714	3.3073975451123472e-06	3.990197734144218e-06	1.4023202411456811e-06	1.427142349977456e-06
M7WHD4	RHTO_03921	1.090086752501208e-05	1.8313452462580443e-05	4.398886693848608e-06	4.2957047835868705e-06
M7XMJ4	RHTO_01854	4.879336751204396e-05	5.482127814758184e-05	2.9246309911038026e-05	2.7776708390867856e-05
M7WU42	RHTO_01866	6.28955506793302e-06	6.0750711231175996e-06	1.8179528180240658e-06	1.6964920073977517e-06
M7XEU6	RHTO_05746	7.065128326678132e-06	7.897858248814347e-06	2.9378007578330164e-06	2.570299313207191e-06
M7WN97	RHTO_04315	2.6164769237384904e-06	2.308486037632395e-06	1.1670586635565393e-06	1.1456831092883913e-06
M7XRJ6	RHTO_07708	1.2388840052310371e-05	1.2175612207093122e-05	7.2891401140376394e-06	6.977157897080148e-06
M7XIE1	RHTO_03967	0.00017022619218643657	0.00018050335530006478	7.255344719263354e-05	6.896671479461593e-05
M7WN01	RHTO_05162	5.774248487342329e-06	5.29496603714737e-06	1.7352389099690374e-06	1.6791200973334736e-06
M7WGA7	RHTO_04463	3.202588347966265e-06	3.7339445160663892e-06	2.263806021866672e-06	2.3151884404228442e-06
M7XQ01	RHTO_01027	4.607113907473241e-06	5.312508821313526e-06	1.9667162951753143e-06	1.9711155393748314e-06
M7WRF4	RHTO_02584	0.0003339091273526219	0.00035937832382515683	0.00016048768856289142	0.00014775859023906444
M7X3I2	RHTO_04839	4.911017200636753e-05	5.2234540561791206e-05	1.018093910801607e-05	1.0129431798507197e-05
M7X6E8	RHTO_00354	0.000111713485471982	0.0001134676718131679	3.2860661870595014e-05	3.015454286391513e-05
M7X3N3	RHTO_04890	4.244515631515553e-05	3.920158388792591e-05	9.043906348706964e-06	7.99486058452045e-06
M7XJM1	RHTO_03594	7.2476943064785e-07	5.334745485319271e-07	2.3165279962847714e-07	2.041120250201479e-07
M7XQH9	RHTO_00592	2.456731283153115e-06	2.370486584811819e-06	2.40978596773409e-06	2.4830312079541695e-06
M7WK47	RHTO_02483	0.0003119601023435661	0.0002898750530597113	0.00014830837043556408	0.00014344131301162667
M7WUD3	RHTO_01560	1.3615631580091348e-05	1.3231962734509385e-05	2.687704216501348e-06	2.499515432362572e-06
M7XN95	ADK1	1.1452595766860698e-05	1.1881047163760677e-05	8.561056536139826e-06	7.904091199908117e-06
M7WS17	RHTO_02628	9.525361064215777e-07	1.0448036056731112e-06	9.117457980902536e-07	9.42670182366726e-07
M7XK72	RHTO_06248	0.00010567066135149058	0.00010103112931009276	3.5626325086310255e-05	3.123974084546233e-05
M7XB33	RHTO_02232	3.508875260787529e-05	3.528265288438525e-05	6.435132061457204e-06	6.49210177685799e-06
M7WV44	RHTO_01367	7.606968916499802e-05	7.861105477647478e-05	3.053445700749061e-05	2.6988453900763553e-05
M7X0X5	RHTO_07025	3.182596212455407e-05	3.61841246354341e-05	1.9169792956449836e-05	1.975828097519298e-05
M7XGI7	RHTO_07860	1.0602059392949094e-06	1.154117561778787e-06	3.375773690326814e-07	3.5304664527486596e-07
M7WU96	RPS0	9.601295334060298e-05	0.00010240068606745466	2.761567589058914e-05	2.2758394534296886e-05
M7XRG0	RHTO_08151	0.0004478378783984106	0.0004648754899686702	0.00017761206764485522	0.00020239645818981517
M7XLR4	RHTO_02004	1.1563891968401589e-07	1.2382855962682763e-07	1.9738973651478824e-07	2.0421747799844873e-07
M7WMY0	RHTO_05147	8.930294732299895e-06	1.0400923301183419e-05	4.607369406562001e-06	4.457261583410827e-06
M7WY54	RHTO_03291	2.0278359869109947e-06	3.574082739213308e-06	3.534316937522704e-06	3.5688034198911666e-06
M7XGU7	RHTO_04540	6.486967783649705e-06	6.8880806440013254e-06	1.909819917858356e-06	1.7169323776354154e-06
M7WQF1	RHTO_03507	7.641425019510368e-07	8.611773829586876e-07	2.618924990914259e-07	2.398059800492526e-07
M7X2W2	RHTO_04629	3.5248525738914926e-06	3.3084017953348103e-06	1.4434002583975372e-06	1.3605349228878978e-06
M7XB76	RHTO_02176	7.164665949950775e-05	7.321630061599038e-05	2.1288154725113876e-05	2.0488886987417943e-05
M7WNY9	RHTO_04048	5.354021969215938e-05	4.897824646820994e-05	1.6690532355123245e-05	1.5588128886098924e-05
M7WZN9	RHTO_00540	7.533323163966058e-06	7.136640055484339e-06	4.532024366338229e-06	4.669503001893084e-06
M7X428	RHTO_05035	0.00017888831796241818	0.0001915810330620889	7.902525793630157e-05	7.876422367442549e-05
M7X347	RHTO_06703	5.127366039034782e-06	4.965822078839998e-06	1.3528190722738806e-06	1.3272654261994546e-06
M7XCH4	RHTO_01534	4.301487979733507e-06	4.856275332241065e-06	2.708399782764328e-06	2.9368178966144154e-06
M7WUR7	RHTO_06331	9.290548647239869e-06	9.043565320035209e-06	8.221394827585256e-06	7.827489481294647e-06
M7WD54	RHTO_06455	6.16491889977338e-06	7.63454365104829e-06	3.946094516166236e-06	3.7020287030438373e-06
M7WUI5	RHTO_01610	8.963800671482015e-06	1.0755453088791898e-05	5.608010520973003e-06	5.269889791149079e-06
M7WT79	RHTO_01970	2.5867455204359356e-05	2.793163287430706e-05	7.225418198133354e-06	6.324819708951953e-06
M7WRL6	RHTO_03444	1.1926202780715189e-05	1.530708949809644e-05	1.0486311982566479e-05	1.0276694096185026e-05
M7WRH8	RHTO_03404	7.837048263630276e-06	6.975689697413114e-06	2.379891057173238e-06	2.4412981082745117e-06
M7X4X3	RHTO_03109	5.1216851183676056e-06	5.45105852084412e-06	1.430014644621279e-06	1.2915399966746036e-06
M7WW42	RHTO_01290	1.3670060649421264e-05	8.55171240870621e-06	4.2589471310614226e-06	4.613841469190463e-06
M7XAZ8	RHTO_02175	0.00011972790945946211	0.0001305463171310021	5.224888050681434e-05	5.331521643956222e-05
M7WYL9	RHTO_07820	6.16052840031353e-06	6.681494711706881e-06	3.319267745144881e-06	2.8529542019171764e-06
M7WXC3	RHTO_00794	2.058900138495074e-06	1.9646952796522848e-06	1.2400648981739909e-06	1.1836007896427087e-06
M7X9Q1	RHTO_03373	0.0001416705701015805	0.0001373592861658453	6.265880139149298e-05	5.385581049808483e-05
M7X791	RHTO_00373	7.254039126359361e-05	7.809332934094762e-05	2.1478312345604584e-05	1.914548081566843e-05
M7X710	RHTO_00278	1.3913017281277187e-05	1.5135705120391424e-05	4.400764853972761e-06	4.164071873846177e-06
M7WKI7	RHTO_06468	2.8245742712126177e-05	1.8942365316552514e-05	1.4048035781815182e-05	1.1573200840583965e-05
M7WKC4	RHTO_06551	1.0691600701557947e-05	1.0151267497057594e-05	4.195511229645697e-06	4.21949280912284e-06
M7WS38	RHTO_07106	7.7309420589147e-08	1.0122395832791145e-07	8.019876623290275e-08	9.265612507691347e-08
M7X9L2	RHTO_03328	4.7585902494791315e-05	5.441649797533261e-05	6.512806666813606e-05	6.786867934799783e-05
M7WG58	MET3	4.7929127029126424e-06	4.871105444998917e-06	1.3640993987461186e-06	1.2666431039793755e-06
M7WEI6	RHTO_05569	7.754270584425115e-05	7.204878651470556e-05	0.00011852798194707626	0.00013669247369444627
M7WQF0	RHTO_03654	2.9673644719035044e-05	2.2009564881288273e-05	4.461630264064613e-05	4.44512850810353e-05
M7WJY9	RHTO_02403		8.705740279139295e-05		3.69828248665092e-05
M7WT18	RHTO_06766	8.68956957999528e-05	8.7012852859301e-05	3.640359107788672e-05	3.587029598640317e-05
M7XKL5	RHTO_02646	2.3649059810906495e-05	2.2931834494328478e-05	1.0279218305126442e-05	1.2283387609943617e-05
M7WQS8	RHTO_07772		2.84636969422484e-05		5.768680302727398e-06
M7XLS1	RHTO_02009	8.813992713832056e-05	9.211746879483153e-05	4.732789425412145e-05	4.2230665812062765e-05
M7X1F6	RHTO_06994	0.00011337378930696401	0.00013776131363927858	6.0552809551837044e-05	6.327280607110944e-05
M7X1E3	RHTO_06979	1.0993015062905695e-05	9.567692339269933e-06	2.7262165366588863e-06	2.6214012157443716e-06
M7WUE8	RHTO_01338	1.6499617870929116e-05	1.638715769043795e-05	2.6673847253095817e-05	2.534311254859608e-05
M7WXP8	RHTO_07988	3.305004118748209e-06	2.6515096006238694e-06	1.4986550515947982e-06	1.392554959263113e-06
M7X4L7	RHTO_02988	1.384605248028806e-06	1.3264833361815503e-06	4.516214312362731e-07	4.3490102401855306e-07
M7WJJ9	RHTO_06614	6.974369445331093e-07	6.978336761549585e-07	2.9465688310159074e-07	2.6779855358901935e-07
M7XGE1	RHTO_07804	0.000124576280470621	0.0001430132152334421	7.25794743745513e-05	7.139274445481664e-05
M7WYS7	RHTO_00185	8.246057752425866e-07	6.812688718560947e-07	2.8615822404038296e-07	2.9697676936217295e-07
M7WFC5	RHTO_05290	1.568831344188503e-05	1.1407724812304811e-05	8.44952926334057e-06	8.804963292184625e-06
M7WWV0	RHTO_01064	1.2569067883352445e-06	1.4139737039826983e-06	3.212612700505448e-07	3.612325120990218e-07
M7WL18	RHTO_02048	8.154378967642197e-06	8.439175895651172e-06	2.8638070837828943e-06	2.6354609895345496e-06
M7XG68	RHTO_05301	3.321470728708933e-05	3.5277047532786925e-05	7.073199380372224e-06	7.204349575783736e-06
M7XHB6	RHTO_07596	5.107977910113723e-05	4.4949398599842524e-05	5.790052110221975e-05	5.563996943806603e-05
M7WV85	RHTO_01392	1.1219545424731307e-06	6.551130751078002e-07	6.809490603503944e-07	6.694082917770757e-07
M7XSU0	RHTO_07620	3.4731433829561772e-06	4.611269084972329e-06	3.90216226849817e-06	3.9657569820343e-06
M7XLD8	RHTO_04874	1.7596328206509932e-05	1.9873093135247003e-05	9.189355718029495e-06	8.887294962366326e-06
M7WLT0	RHTO_01933	0.00010833003073676669	0.0001311448520582788	4.480805954150996e-05	4.575161397149237e-05
M7X7E9	RHTO_00443	1.886657700930847e-05	2.1397768034678125e-05	3.084867746456576e-05	3.379424227529874e-05
M7WW62	RHTO_05007	2.1584706266146714e-07	2.1368843310288714e-07	6.902705769446619e-08	5.419931951172339e-08
M7WM30	RHTO_05264	3.95220534325315e-06	4.058984104935981e-06	2.100933470443657e-06	1.8933622901317972e-06
M7WJX3	RHTO_06639	7.177236996072649e-06	8.167599548031211e-06	3.251865732240475e-06	3.2232523769919393e-06
M7XJJ4	RHTO_06068	4.52555756725322e-06	5.066490924644855e-06	1.910450261573588e-06	1.7163928899767295e-06
M7WYE0	RHTO_00070	7.440436559976025e-05	6.614543613803257e-05	7.428195620181409e-05	8.164458452133575e-05
M7X0P7	RHTO_06930	1.9998207540914908e-05	2.1596983630818403e-05	1.294420809124175e-05	1.132501838149105e-05
M7WQ96	RHTO_03853	2.754265664006347e-05	1.5706464025013185e-05	3.514790977607774e-05	3.0599508337034924e-05
M7Y042	RHTO_00391	9.554567692305515e-06	1.0846314682077399e-05	4.008942042311447e-06	3.975743377054209e-06
M7WKF8	RHTO_02312	3.943466562859214e-06	4.31933814054194e-06	1.6489737898958097e-06	1.4424059965855142e-06
M7WNN8	RHTO_00906	4.417467641991903e-06	4.368036664841611e-06	1.6484941733617817e-06	1.5186978639435692e-06
M7WNR0	RHTO_04216	4.442750641044949e-05	4.4173176098964104e-05	1.4329935697306735e-05	1.4415017534447473e-05
M7WXS9	RHTO_08013	2.1250667579148e-06	1.7424781052449818e-06	1.620974769081248e-06	1.567511219896021e-06
M7WTI0	RHTO_01852	5.3904749864713145e-06	5.828966428252462e-06	2.8977422441581065e-06	2.5795762163180612e-06
M7WTW2	RHTO_01776	2.2206320831641396e-05	1.7251276597783565e-05	7.983351467066803e-06	7.883937911340509e-06
M7WMH0	RHTO_01354	7.055959615790189e-06	5.878041880970524e-06	2.206053702694496e-06	2.2218811272000396e-06
M7WV92	RHTO_01402	2.05203272798202e-05	1.0541276138542865e-05	1.466539144741438e-05	1.3529564821169103e-05
M7XPZ4	RHTO_01017	2.976942424412948e-05	3.027958330962961e-05	6.891816064475689e-06	6.291593175570552e-06
M7X4D0	RHTO_02909	1.6851397787361388e-05	1.6982208217175355e-05	6.814594554099313e-06	6.4637541260218286e-06
M7WVH9	RHTO_04781	6.23871248452085e-06	7.78141620910937e-06	9.144819372442907e-06	9.279862882703233e-06
M7XIK9	RHTO_06773	8.251306812817483e-06	6.713000269870179e-06	3.7634476204960074e-06	3.3874310068129348e-06
M7X6H1	RHTO_05191	9.963124008503396e-06	1.092875358281535e-05	4.515451268516394e-06	4.33404403298749e-06
M7XDN2	RHTO_01139	1.3427216639077544e-05	1.3855404022481558e-05	5.123083581713344e-06	5.777013621729585e-06
M7XLU8	RHTO_05064	1.01496188622779e-05	1.0336065193433745e-05	7.70529019903653e-06	6.980124628498517e-06
M7WTM4	RHTO_01907	4.672361314731547e-06	4.786811300660778e-06		2.0460833649953865e-06
M7WQ15	RHTO_03763	1.5680246866634528e-05	1.7297955905395414e-05	3.523122744624233e-05	3.6144162941726096e-05
M7WEG7	RHTO_05549	3.965692838693403e-07	3.8993080356612855e-07	1.1200096845371524e-07	1.086465410615756e-07
M7X3F9	RHTO_04819	2.948618251822256e-06	3.1809358453611086e-06	1.3700869687852275e-06	1.4186912851150647e-06
M7XYI4	RHTO_03081	0.00023827611981372374	0.00022689037201371355	0.00010998100781692207	0.00010631983388297787
M7XG88	RHTO_07734	1.6815678140994362e-05	1.8355141051252915e-05	2.0524924430829132e-05	2.0536785933217755e-05
M7XXN8	RHTO_02759	3.1031613326968092e-06	1.2619594238293374e-06	1.4127985610869573e-06	1.354270425851163e-06
M7XK01	RHTO_06193	6.315229423470029e-06	5.056236041499606e-06	2.4747676149652796e-06	2.8486254321998626e-06
M7WUM6	RHTO_06286	3.1998752449309296e-05	2.7482770089960064e-05	1.7094839216969595e-05	1.8355852064646456e-05
M7XHY3	RHTO_07248	4.727006911568168e-06	5.581277037660764e-06	1.980012906826768e-06	2.0928514888977576e-06
M7X3L3	RHTO_05101	3.979358332034015e-06	4.7327962465330835e-06	4.888887336094404e-06	5.328790503665428e-06
