uniprot	Gene_names	GNlim_1	GNlim_2
M7WM06	RHTO_05244	1.2127562536251431e-05	1.0170263634401632e-05
M7WSE0	RHTO_02328	1.925718140928508e-06	1.579080288064907e-06
M7WF78	RHTO_05245	2.525734225018077e-06	2.412693536976106e-06
M7WZ88	RHTO_00385	4.3322003093504805e-07	4.969414795676989e-07
M7WDP6	RHTO_05934	4.326156056736886e-06	3.6355693408310974e-06
M7WTD9	RHTO_06886	1.1315539446944733e-06	9.681919399585865e-07
M7XKV3	RHTO_02384	1.62895298562908e-05	1.3091498803627816e-05
M7WVT6	RHTO_00950	5.340447512465828e-07	4.6998540969982747e-07
M7WTL0	RHTO_06976	2.22293675695177e-06	1.8343474481539335e-06
M7X9N1	RHTO_03348	3.452348224572781e-06	2.9354537058995894e-06
M7WD74	RHTO_06480	1.4147605790357747e-06	1.1554679873484005e-06
M7WE51	RHTO_05627	8.332600332108881e-07	6.031082587664525e-07
M7XEG0	RHTO_05920	4.6141059749735766e-06	3.740551092430104e-06
M7WTH2	RHTO_06926	2.0234720868086695e-06	1.6917188761473665e-06
M7XPV9	RHTO_00392	6.19741596492354e-07	4.852013839033224e-07
M7XTU8	RHTO_06717	2.1718699220296223e-06	1.8471408062997631e-06
M7Y0T1	RHTO_00606	8.873648218307262e-08	
M7XSX2	RHTO_07665	3.2357232640665623e-07	2.5326839075761933e-07
M7X4A9	RHTO_05896	1.2742367798545213e-06	1.01356983650344e-06
M7XIT2	RHTO_03621	4.847856488427293e-07	3.6974431800632894e-07
M7WYK3	RHTO_07503	3.3693983246191115e-05	2.780047656765746e-05
M7WT46	RHTO_02102	1.642071791851396e-05	1.440819658418698e-05
M7WX06	RHTO_02880	6.499696592124556e-07	5.43390258159455e-07
M7WQR0	RHTO_07747	1.5889938950137898e-06	1.3967876105014622e-06
M7XJK5	RHTO_03579	1.78632987217455e-06	1.4260662572345903e-06
M7XPA1	RHTO_00152	6.942014651678574e-07	5.085699582205846e-07
M7X0J8	RHTO_06870	2.06301290399026e-06	1.531689236082354e-06
M7WMN7	RHTO_01414	3.656368038870441e-05	3.0056664975289627e-05
M7WW40	RHTO_01050	6.296122688749334e-07	4.55376453596297e-07
M7WS73	RHTO_07151	2.4722354055233758e-05	2.095477972782309e-05
M7XM95	RHTO_01739	1.9322400085747497e-06	1.5952458869272582e-06
M7XID0	RHTO_03952	1.1248499952477861e-06	8.655122075635456e-07
M7WZJ7	RHTO_07250	3.886610867970341e-06	3.2876151414867516e-06
M7X568	RHTO_05541	1.5195670769264082e-06	1.6511704426218157e-06
M7XIZ1	RHTO_06913	4.1559787149354974e-07	3.4370033854326236e-07
M7XNS3	RHTO_01470	1.7892782229271044e-06	1.4270838612052813e-06
M7WXK0	RHTO_08139	1.1931222383354196e-06	9.551519572454637e-07
M7XNP4	RHTO_01440	2.8171023852853495e-06	2.6068855108867894e-06
M7XLK7	RHTO_04939	6.25124265347343e-07	5.085167094538453e-07
M7WKH8	RHTO_06458	1.2325467115376413e-05	1.1103327291973598e-05
M7XIR2	RHTO_03866	1.5411397030405892e-05	1.4499047633092711e-05
M7XZ45	RHTO_00011	6.454818560456393e-06	4.8825123877764586e-06
M7WZU3	RHTO_00590	7.924785860154023e-06	8.1508435472822e-06
M7XMM8	RHTO_02882	3.0219664756021364e-05	2.4487853651949108e-05
M7XW60	RHTO_04662	3.7873605958759166e-06	3.096900774471773e-06
M7XW21	RHTO_04622	2.1302217033403412e-06	1.6552752585650488e-06
M7XEY4	RHTO_00673	3.0242251634175365e-06	2.4758785219061374e-06
M7XHA1	RHTO_07576	6.027799584675804e-06	4.865313691500356e-06
M7WLP6	RHTO_05680	9.91447190940956e-07	8.205449889595256e-07
M7WGQ1	RHTO_04152	3.2669065667282005e-06	3.382484641578255e-06
M7X825	RHTO_04091	8.822930478435119e-06	7.462402343141747e-06
M7WPK3	RHTO_04067	5.075628772026886e-07	3.879253870116184e-07
M7X4W9	RHTO_03104	1.3403762632831592e-06	1.0051807904793166e-06
M7XCF7	RHTO_01920	4.858263202249658e-07	4.3556674279743855e-07
M7X3T8	RHTO_06452	6.122310649719226e-07	1.6170055420999837e-06
M7X4M7	RHTO_02797	5.196823527153421e-08	4.473229356957527e-08
M7XY51	RHTO_02946	9.807286669026017e-07	8.638229061466259e-07
M7WPT6	RHTO_03919	2.6427809783229666e-06	2.1700444764472096e-06
M7XM82	RHTO_02750	4.006790135006652e-05	3.295287785169243e-05
M7X473	RHTO_05090	5.509717014222458e-08	4.678767002208366e-08
M7XS31	RHTO_07904	8.375552718176132e-07	7.583424694748756e-07
M7XHN3	RHTO_04193	5.477922053674953e-06	4.611413953308212e-06
M7XHQ6	RHTO_04213	7.867905657173794e-07	5.821619569050153e-07
M7X0P4	RHTO_06925	1.975063399287567e-07	1.7520488267125104e-07
M7XHL4	RHTO_04178	9.636903658694885e-07	8.732447761492416e-07
M7WUZ9	RHTO_04595	6.623202109125649e-06	5.607429485030891e-06
M7WRC4	RHTO_07449	3.513033491529613e-07	3.5172303814311097e-07
M7WSY9	RHTO_02273	1.2138728786944025e-06	1.0255891317273794e-06
M7XUJ6	RHTO_06972	1.2595429404639835e-05	1.2041407307517926e-05
M7XDC5	RHTO_06642	1.950310828925705e-06	1.736127543996943e-06
M7WU19	RHTO_01841	4.023650488088097e-06	3.477016994195252e-06
M7XU58	RHTO_06807	8.265006217299982e-07	7.554324226239123e-07
M7WM03	RHTO_01597	4.807444739007988e-07	3.866930577219865e-07
M7XW70	RHTO_04672	2.3509733898632094e-08	2.255677969041971e-08
M7XUW4	RHTO_06042	1.266662005417158e-06	1.095372998130234e-06
M7XI20	RHTO_04065	1.2540995686868318e-06	1.0278339458126999e-06
M7WRJ3	RHTO_02614	6.276946422077726e-06	5.242999435857372e-06
M7WYS3	RHTO_00180	1.5143243420366814e-06	1.250245200332421e-06
M7XBA0	RHTO_02305	7.366235617784708e-07	5.664290145919281e-07
M7X643	PIM1	1.9167689560551574e-07	1.5183160803844186e-07
M7WZX2	RHTO_00615	8.69689874006808e-07	6.588700677791318e-07
M7X2H6	RHTO_06289	1.5017780137889651e-05	1.1714182051560416e-05
M7WZL1	RHTO_07587	1.2055740929684996e-06	9.594561130033801e-07
M7XZU4	RHTO_00286	7.64678115569536e-06	7.500658182104309e-06
M7WXH3	RHTO_08104	2.785944339426735e-06	2.37804752134626e-06
M7WZ16	RHTO_00300	1.9478682882391608e-06	1.625029364778342e-06
M7X159	RHTO_06879	3.9053955937243487e-07	3.0087658497728663e-07
M7WKD3	RHTO_05913	1.2855100771156302e-06	1.0866821520862321e-06
M7WIR6	RHTO_03331	1.2298185412829968e-06	9.737097998679286e-07
M7WSZ7	RHTO_02062	5.770267739036877e-07	4.929302229960777e-07
M7XRK5	RHTO_07718	5.425692373135008e-07	4.075564864706918e-07
M7WVI3	RHTO_04786	9.8875595714985e-07	7.578407509956974e-07
M7WU74	RHTO_01686	8.546429159999993e-07	8.154404954628944e-07
M7WGQ5	RHTO_04157	2.6445434690044133e-06	2.288574090595646e-06
M7WPZ7	RHTO_03989	1.6420665167017598e-06	1.384672703887711e-06
M7WMK4	RHTO_05253	1.0187071557903772e-07	1.6996921388267486e-07
M7X7Q5	RHTO_00558	1.4728143261190547e-06	1.2598631310187599e-06
M7X7L3	RHTO_00518	1.4349350986099563e-06	1.1868066019042095e-06
M7XK83	RHTO_02531	1.541660124869486e-07	1.154333910128098e-07
M7WGU8	RHTO_04212	2.5479538920449055e-06	2.3255440723080216e-06
M7WZ54	RHTO_07462	7.369462250780386e-07	6.258041821091921e-07
M7X0K2	RHTO_06875	1.5016863789896029e-06	1.1332398399963807e-06
M7X659	RHTO_00008	2.218838307795468e-06	1.6787030761356598e-06
