uniprot	Gene_names	XNlim_1	XNlim_2
M7X6W8	RHTO_00534		8.692942924566873e-07
M7XG83	RHTO_07729	1.2329304263888139e-06	1.5236014389639115e-06
M7WXH9	RHTO_03045	3.4753321761748544e-07	2.9069768551513404e-07
M7WUR1	RHTO_06326	2.2526636686756233e-07	1.8078891745139133e-07
M7X0R3	RHTO_06749	1.5165001248247698e-06	1.5483755966762695e-06
M7X939	RHTO_03743		
M7X2V7	RHTO_04624	6.197754857824813e-07	4.3915873729173757e-07
M7WL93	RHTO_05728	2.2260330835092716e-07	2.326435178506464e-07
M7XMK1	RHTO_01864	8.206669423232648e-08	7.58001715843091e-08
M7WFF1	RHTO_05315	8.25685365031969e-07	7.505081254880356e-07
M7X7R6	RHTO_04229	1.3981075807513796e-06	1.3992761654497518e-06
M7WM43	RHTO_01637	1.039331474476732e-07	9.362239944125489e-08
M7XPI9	RHTO_00242		5.354579193033511e-07
M7WCV9	RHTO_06589	7.710269223526731e-07	7.15934731912652e-07
M7WYU1	RHTO_00205	1.7878453222044934e-07	1.5505312636529774e-07
M7WYT7	RHTO_00200	2.320556787620095e-06	2.4237786138514106e-06
M7X8Y2	RHTO_03678	1.2236581826721823e-08	8.647796950060917e-09
M7XZN8	RHTO_00226	1.8622257902055878e-07	1.4734253907901964e-07
M7WD04	RHTO_06548	2.7073321251026646e-07	6.669418040600769e-08
M7WRY8	RHTO_07649	1.8729718035492258e-07	2.085889704686944e-07
M7WJ39	RHTO_03436		2.653483713826508e-06
M7Y0N8	RHTO_00566	1.1859781400219689e-07	1.3356413084169292e-07
M7XE78	RHTO_00878	4.402198869344295e-08	3.664238203545815e-08
M7WUW8	RHTO_06386	3.2123075524784144e-06	3.193797190777709e-06
M7X7C0	RHTO_00408	4.4582656532237094e-07	5.125549273428919e-07
M7XJX0	RHTO_03377	3.0331489161219633e-07	2.8292555397105823e-07
M7XDY6	RHTO_01249	2.4114439203548665e-07	1.6625781217946398e-07
M7X226	RHTO_06370	5.8101234793266675e-05	5.971286514634124e-05
M7WQD1	RHTO_03633	6.080238489421212e-07	5.169856904004458e-07
M7XB28	RHTO_02297	1.9957409579564805e-07	1.9272266692110302e-07
M7XGP2	RHTO_05230	2.9743137344612425e-07	3.129773337871369e-07
M7XI48	RHTO_07303	6.485038209298838e-07	4.967781980755448e-07
M7XFS8	RHTO_08047		1.4164185487327763e-06
M7WVP5	RHTO_04846	1.1853205247280841e-06	8.781137723980711e-07
M7XEW0	RHTO_05756	1.9062630164991317e-07	1.882873497055165e-07
M7WJJ1	RHTO_02600	2.1521401304685485e-07	2.6789941566134485e-07
M7XDI7	RHTO_06618	3.600847556132595e-09	1.5900569078234583e-08
M7XH21	RHTO_07516	1.1306881154342314e-07	1.1330577516082007e-07
M7XLA9	RHTO_04843	4.020989585855842e-08	4.332181781007241e-08
M7XHZ2	RHTO_04030		2.6497530755736147e-06
M7X683	RHTO_00274		1.4231200774549141e-06
M7XMS6	RHTO_02927	5.0163638466013005e-08	4.781899598410105e-08
M7WLK5	RHTO_01853	2.250684447864138e-07	2.033184041876747e-07
M7XUB5	RHTO_06882	1.762663324480133e-07	1.8290979508303547e-07
M7WWQ5	RHTO_00820	2.4613423355700807e-07	1.6271666411301377e-07
M7WP96	RHTO_03925	5.98681659299242e-07	5.927461312849545e-07
M7WMD7	RHTO_01732	1.2705847426211823e-07	1.1584613458247813e-07
M7WT61	RHTO_02122	7.307842563635401e-08	8.559477135661116e-08
M7XQN3	SEY1	8.428541530424567e-08	7.394971382912379e-08
M7XH83	RHTO_04292	4.481431686797913e-07	3.4508107462545595e-07
M7XNF6	RHTO_01365	2.6747882874666908e-06	3.427276217065658e-06
M7WLI2	RHTO_05640	1.335585234569382e-06	1.7938383843148608e-06
