uniprot	Gene_names	Aexp_1	Aexp_2
M7XZ93	RHTO_00066	4.473602376670847e-07	4.489484411993152e-07
M7XVM0	RHTO_06272	6.724365483452041e-06	7.5256458795740805e-06
M7WLR9	RHTO_05705	2.6301778969316243e-07	3.0217235004786267e-07
M7WH68	RHTO_04079		2.9829625846038475e-06
M7X3A0	RHTO_06633	1.0304598642001177e-06	9.467278183810505e-07
M7WP05	RHTO_04068	2.267835979075851e-06	2.7228893207015957e-06
M7WZV2	RHTO_07345	1.1559592989840947e-06	1.3212808853660997e-06
M7XFY4	RHTO_05435	4.006838391442946e-06	4.320108827058306e-06
M7WMS6	RHTO_01469	8.967994381823717e-08	1.2108302623393106e-07
M7XPF5	RHTO_00192	2.2652927500272845e-07	2.5772195030253035e-07
M7X8E9	RHTO_03988	2.315079841952642e-06	2.7090716417039902e-06
M7WRV6	RHTO_02573	2.529125867853465e-06	2.546884187375322e-06
M7WYZ8	RHTO_00280	2.6365420217766e-07	2.828576880956814e-07
M7WNW9	RHTO_04330	4.0991222369656515e-06	4.327666733734956e-06
M7WQ95	GET3	1.2081894106948102e-06	1.3354366262343734e-06
M7WL19	RHTO_05797	4.099318060852179e-07	4.2893376362899656e-07
M7WXL7	RHTO_08159	9.561192661319949e-08	1.4867547226810453e-07
M7XNX9	RHTO_01102	2.6315749668839665e-06	3.0372071820696303e-06
M7WXZ3	RHTO_07831	7.837267150058161e-07	8.286821544410559e-07
M7XF40	RHTO_00733	2.365739439739729e-06	2.1353223767969136e-06
M7XLR5	RHTO_05024	7.69857908619637e-07	7.52437773661762e-07
M7XGX3	FEN1	5.540693388752637e-07	5.82313094085845e-07
M7XJ04	RHTO_06933	7.135316189867633e-07	7.963478508607629e-07
M7X318	RHTO_04689	3.7472883723903596e-06	3.7690244893744987e-06
M7X766	RHTO_04293	1.1959916245405357e-06	1.2970377249890315e-06
M7X4R0	RHTO_05757	1.8372205457043018e-07	2.530073603294028e-07
M7WYW5	RHTO_07593	6.666634293432763e-08	6.933736767644553e-08
M7WRR3	RHTO_07569	2.4302307189900467e-06	1.9987783203563776e-06
M7WVR9	RHTO_01160	4.404539464074414e-06	4.971604434935313e-06
M7X5F0	RHTO_03038	3.0252227983152107e-07	3.867058344705387e-07
M7Y0E0	RHTO_00476	3.0206226229401007e-06	3.1601973954419642e-06
M7X458	RHTO_05075	9.198974861792021e-08	1.0394186735823521e-07
M7WJV1	RHTO_02351	2.782561998700744e-07	3.337488250175431e-07
M7Y0E4	RHTO_00481	6.051038326176724e-07	9.888782086301388e-07
M7XVS5	RHTO_06342	1.4047160544752478e-06	1.4012828245737157e-06
M7WX33	RHTO_00694	1.2270162198943712e-07	1.3411049273982823e-07
M7X0I3	RHTO_06850	1.3648011993316677e-06	1.4387408225416997e-06
M7XL68	RHTO_04803	6.468458121865421e-06	2.615708128059433e-07
M7WIA6	RHTO_03756	3.8667515463724747e-07	3.697013227499493e-07
