Gene name	mmol_gDW_P1
RHTO_06724	7.047884082598273e-08
RHTO_00167	1.2474057892227062e-06
RHTO_06479	0.0
RHTO_07678	2.3757520935877806e-07
RHTO_07286	1.688510954411368e-06
RHTO_03005	1.6441594447728416e-07
RHTO_00183	4.634073594462422e-07
RHTO_03342	2.414105679139802e-06
RHTO_06910	3.367865982692617e-07
RHTO_02745	5.374119444103029e-07
RHTO_00181	3.127114927518641e-06
RHTO_00111	2.9034771874400465e-06
RHTO_02697	1.4165630234664976e-05
RHTO_01079	0.0
RHTO_07451	1.0719268131303038e-06
RHTO_02747	3.9739183610748846e-07
RHTO_01854	5.4814373925342154e-05
RHTO_05198	9.131397145566099e-06
RHTO_01114	5.383566999911722e-06
RHTO_05581	6.716369926890886e-08
RHTO_03626	7.378267251193318e-07
RHTO_00590	9.016776926683537e-06
RHTO_00178	2.3623709938050253e-05
RHTO_07880	1.684665838072617e-06
RHTO_04229	2.1334692411976464e-06
RHTO_04974	3.115711432209292e-07
RHTO_08019	9.769587485841914e-08
RHTO_06876	2.979593115114071e-07
RHTO_00172	8.928704325797185e-07
RHTO_06752	1.1197134133116403e-06
RHTO_07750	2.503466445097873e-06
RHTO_00987	1.7521855081179003e-07
RHTO_04244	8.278774755846118e-06
RHTO_04258	1.1882860525849467e-06
RHTO_06095	2.8344156679723653e-08
RHTO_07606	5.3748430474425685e-06
RHTO_00709	1.0279199222880433e-06
RHTO_05993	7.242091122938651e-07
RHTO_06042	8.381018794284117e-06
RHTO_04742	6.717552654112611e-07
RHTO_05467	2.57803913829226e-08
RHTO_03917	2.323403877832103e-06
RHTO_03701	1.5741436982889572e-06
RHTO_04334	9.214014075747595e-06
RHTO_05208	0.00017139987528568917
RHTO_00668	1.8146826977682614e-07
RHTO_05136	6.43965703046713e-07
RHTO_04687	4.4540798970903085e-10
RHTO_01847	2.6773102341804896e-07
RHTO_00568	8.329756622912143e-08
YTM1	7.40861931925386e-08
RHTO_04281	1.0079114631844375e-06
RHTO_02596	2.13687025757198e-07
RHTO_05831	2.6122693699749005e-07
RHTO_06820	5.52752817351971e-06
RHTO_00278	1.0548321116208676e-05
RHTO_04955	8.13778583764815e-09
RHTO_01824	5.602332301580085e-07
RHTO_07436	3.954791481131051e-06
RHTO_03098	3.377276639637764e-08
RHTO_02799	3.3604928580191616e-06
RHTO_02484	6.649776997126428e-09
RHTO_01388	9.53516590338728e-08
RHTO_02203	1.624081530276987e-07
RHTO_03853	4.0860886713775795e-05
RHTO_07369	9.091533286574736e-08
RHTO_05161	4.777357187112324e-06
RHTO_06385	3.0790054128331616e-07
RHTO_04058	1.4336404649931189e-05
RPS0	7.711963739010729e-05
RHTO_07496	2.7909784962637624e-07
RHTO_07066	2.142922959484247e-06
RHTO_07353	1.6744666536920647e-06
RHTO_08022	1.8185432567340314e-06
RHTO_04781	4.333131193313473e-06
RHTO_00678	4.7212988333580934e-08
RHTO_04549	5.4322346203502406e-06
RHTO_04192	4.158681699713041e-08
RHTO_03914	1.9068109769216604e-08
RHTO_06020	4.696520300715879e-07
RHTO_03558	1.0166596334406023e-06
RHTO_06635	7.268574301912087e-07
RHTO_04685	1.920497214357033e-07
RHTO_04241	2.162372206439367e-08
RHTO_03414	0.0
DRE2	6.600253671629963e-08
RHTO_02860	3.8117453087621575e-09
RHTO_05017	3.951182680039544e-07
RHTO_05546	3.032023358591647e-07
RHTO_01725	1.1284722441274632e-06
RHTO_07788	6.526625357123595e-08
RHTO_06940	3.057998441745616e-08
RHTO_01290	1.5866425555617302e-05
RHTO_02573	1.5968172102719233e-06
RHTO_05002	9.8653379946503e-09
RHTO_03057	1.867087002716252e-06
RHTO_05964	9.391724476614357e-05
RHTO_04546	2.4388906813417124e-07
RHTO_08148	6.251788033259455e-06
RHTO_07311	1.6358074069786737e-07
RHTO_06703	8.413481067962349e-06
RHTO_02218	4.710504631515224e-06
RHTO_03059	3.0557753847719886e-07
RHTO_00470	2.4153276364402163e-07
RHTO_03113	6.555986718993839e-05
RHTO_04403	1.5148537230805403e-07
RHTO_01116	5.531984277733524e-07
RHTO_02209	2.8455946967945404e-06
RHTO_04427	6.753814006875112e-05
RHTO_06050	1.2503148537630622e-08
RHTO_06913	4.6795183950603205e-07
RHTO_01620	2.4630893739771436e-07
RHTO_01459	5.023214035664015e-06
RHTO_02934	6.164959229970286e-07
RHTO_00034	5.0575472321366556e-08
RHTO_06184	1.3103991467046663e-06
RHTO_00391	1.137020023426406e-05
RHTO_05405	5.534277851529982e-07
RHTO_02122	1.519784968830196e-07
RHTO_05137	9.48227102133343e-07
RHTO_00003	3.3166682840551656e-08
RHTO_01037	1.71463324913358e-07
PRT1	1.3182164707315838e-06
RHTO_05134	1.3801310271462514e-06
RHTO_03406	2.115833948114948e-06
RHTO_01414	3.048712955759479e-05
RHTO_02278	8.24304696105632e-08
RHTO_06832	4.482658579003168e-08
RHTO_06030	1.333688930704421e-07
RHTO_03989	7.756257496213625e-06
RHTO_04809	5.533516252225883e-07
RHTO_04361	2.5985754580876764e-07
RHTO_00177	1.3342696386473364e-05
RHTO_05097	0.00011441720581840549
RHTO_00573	3.79376744850479e-07
RHTO_05119	6.552709230926597e-05
RHTO_04461	1.6827657361287998e-07
RHTO_06581	2.491932436680498e-06
RHTO_03298	1.991930706007224e-06
RHTO_02467	6.136240626430745e-08
RHTO_06455	8.749293283153977e-06
RHTO_01115	3.790873485968367e-07
RHTO_06079	2.9351079077607207e-07
RHTO_02995	0.0
RHTO_06048	5.782401119231536e-05
RHTO_07842	3.7671123302281545e-05
RHTO_06384	3.973581178063974e-05
RHTO_03767	1.8269510928095533e-07
RHTO_02497	4.6547760623424026e-06
RHTO_04216	5.5036152238112314e-05
RHTO_05832	1.580500994845812e-08
RHTO_05499	3.759357182812947e-08
RHTO_06422	2.4761720951422164e-09
RHTO_05230	4.1561386414899144e-07
RHTO_07869	3.554682599613015e-07
RHTO_01391	3.295247416359809e-07
RHTO_01881	0.0
RHTO_06728	1.111858716953209e-06
RHTO_06757	8.857089171292341e-07
RHTO_05290	2.4996077206660094e-05
RHTO_00831	4.973438253719913e-09
RHTO_00086	9.10804577026897e-09
RHTO_02579	1.0899240843489935e-06
RHTO_01884	1.6239197063283506e-07
RHTO_00234	1.3530329237465805e-06
RHTO_06900	5.691984274599525e-07
RHTO_00787	4.363475323631377e-08
RHTO_06002	3.5536265848099886e-07
RHTO_00659	4.135781974630467e-07
RHTO_01338	2.5848886587972858e-05
RHTO_07813	5.20432602593212e-07
RHTO_04262	8.681584596732562e-08
RHTO_04589	2.374862171708329e-06
RHTO_06976	5.9911842710864055e-06
RHTO_04425	3.754125297406373e-07
RHTO_00522	6.903434726990628e-08
RHTO_07049	3.014478187679495e-08
RHTO_03968	6.393054363067586e-05
RHTO_06683	1.8334304537782523e-06
RHTO_03851	3.711684263438413e-08
RHTO_03998	7.436059970074254e-08
RHTO_06866	1.1488265482459154e-08
RHTO_01119	1.1446757866667853e-08
RHTO_01612	6.145160748150328e-08
RHTO_05685	1.757100287846342e-06
RHTO_02886	3.1030935252228913e-06
RHTO_02062	3.28373126313351e-07
RHTO_02571	7.754580807012767e-07
RHTO_01858	3.3323315781731787e-06
RHTO_02622	6.558521882421119e-08
RHTO_00841	3.448887119183058e-07
RHTO_04610	1.0519708498472294e-07
RHTO_01933	6.907582801845644e-05
RHTO_00498	1.9017294270109674e-06
RHTO_00205	1.6191058516999995e-06
RHTO_02633	2.3994063029390524e-08
RHTO_05726	3.9374547706607645e-07
RHTO_04583	1.2118285885465011e-06
RHTO_06514	4.199016390497349e-05
RHTO_03847	1.2241462337810664e-06
RHTO_04922	3.962474221930142e-06
RHTO_02781	8.109213197556472e-07
RHTO_00243	3.750610823089039e-07
RHTO_04602	3.941156025385709e-08
RHTO_05000	4.26097420974241e-07
RHTO_02599	2.3775060021716494e-05
LSM4	1.6984193479573297e-06
RHTO_06834	8.769940586019823e-09
RHTO_03563	1.2199274060095064e-07
RHTO_01889	4.85827120931834e-08
RHTO_02034	3.450652170532805e-07
RHTO_08045	1.7233884556055003e-06
RHTO_01981	8.0648148408379e-05
RHTO_04292	2.5189161573014436e-07
RHTO_01997	7.91232372534227e-07
RHTO_00540	1.0926876799231622e-05
RHTO_02513	2.117065464484985e-08
RHTO_07471	4.341610801350173e-08
RHTO_05024	1.2001235270021496e-06
RHTO_00641	3.2049732961131872e-06
RHTO_06682	5.708979334918638e-07
RHTO_06292	8.090496698617302e-06
RHTO_01072	2.6755960944611873e-06
RHTO_05461	4.807023799661165e-05
RHTO_02385	1.1595192014905803e-06
RHTO_03743	3.0174134419680345e-07
RHTO_05404	9.263413000393549e-07
RHTO_00829	1.8947261126995915e-07
RHTO_05077	1.1985671522335953e-07
RHTO_08150	0.00010383462316420253
RHTO_06930	3.383613510800193e-05
RHTO_01440	2.5855417887870707e-06
RHTO_07364	1.66456642314319e-07
RHTO_06582	2.6850653405880515e-08
RHTO_03967	0.00013222222569710357
RHTO_03109	6.72881550623847e-06
RHTO_07656	1.279095375534464e-07
RHTO_01574	9.1092507921903e-08
RHTO_05842	8.93368299303633e-08
RHTO_07513	1.935332749837334e-06
RHTO_00154	9.845456589009471e-08
RHTO_00771	1.3509743694245784e-06
RHTO_05629	4.1374916197462866e-08
RHTO_01090	1.3824468129208908e-07
RHTO_06128	1.5566365399882688e-07
RHTO_06293	1.3555415201591426e-07
RHTO_00383	1.7922961055731587e-08
RHTO_07765	1.0389597439042535e-06
RHTO_01947	1.3610839257450652e-06
RHTO_00189	3.8740232831434e-08
RHTO_04325	5.1757274650662537e-05
RHTO_02401	2.7070435134105597e-06
RHTO_05728	8.815074899037555e-07
RHTO_02881	2.7967716437035445e-06
RHTO_01778	4.849758781420775e-07
RHTO_04355	1.5117993074619277e-07
RHTO_00297	3.938343979831769e-08
RHTO_04984	8.148419715833096e-08
RHTO_04947	2.740893701589705e-06
RHTO_00025	2.4670778553475866e-07
RHTO_05040	3.956073753829912e-08
RHTO_04012	8.043171453338866e-08
RHTO_02477	1.8982500669206066e-07
RHTO_06965	7.354309930256767e-08
RHTO_04701	4.68232776254848e-07
RHTO_00592	2.2203306653801233e-06
RHTO_01970	6.200299176103268e-05
NAT10	7.22719556942265e-08
RHTO_00781	9.703277231486633e-07
RHTO_05913	1.6089423382585532e-06
RHTO_07424	1.5281717997453237e-07
RHTO_04201	7.683556794756058e-06
RHTO_03047	2.7781228852833533e-06
RHTO_04450	1.9305467150895646e-06
RHTO_06027	7.911254691030154e-07
RHTO_06301	4.7110127971137026e-08
RHTO_02544	9.32334138152981e-08
RHTO_00706	1.024626930556353e-08
RHTO_08072	1.4074553792312504e-07
RHTO_01563	8.228594701792647e-08
RHTO_01718	5.022739087527535e-07
RHTO_00713	9.246841616558719e-07
RHTO_02052	2.387646633632094e-07
RHTO_05286	4.834302441914197e-07
RHTO_03399	1.1035161481274618e-06
RHTO_03404	9.260959938811745e-06
RHTO_06892	6.947326490728797e-08
RHTO_05011	6.134137256140238e-05
RHTO_03332	2.8508678682922605e-07
RHTO_02678	6.67672849354114e-06
RHTO_01864	1.1496921569112641e-07
RHTO_06195	3.2828467518702484e-08
RHTO_03920	2.569934138171118e-07
RHTO_01735	3.437337918615429e-07
RHTO_03373	8.883586550421863e-05
RHTO_03291	2.9464273655632205e-06
RHTO_00199	1.0360234966452466e-06
RHTO_03105	3.566941731395957e-08
RHTO_05567	2.1320834868383993e-07
RHTO_07349	5.5594931258746626e-08
RHTO_06693	5.4090088716390295e-06
RHTO_05392	3.850739615055228e-07
RHTO_07106	4.1569166418229953e-07
RHTO_04092	1.8510913278310838e-08
RHTO_02108	2.6906375717816705e-07
RHTO_01875	2.46858650089966e-06
RHTO_06628	5.576303271478277e-08
RHTO_04641	3.468358995056719e-07
RHTO_07121	1.6781136233169682e-06
RHTO_04210	5.467557150611592e-07
RHTO_06569	2.4382796908133033e-07
RHTO_02844	3.265005882048578e-07
RHTO_05648	4.901784105918464e-05
RHTO_07734	9.40813228011623e-06
RHTO_06410	9.6416329523874e-07
RHTO_02577	7.185523869160673e-05
RHTO_06073	5.980960672748784e-06
RHTO_01813	3.28362577122164e-08
RHTO_00413	1.7386638772393095e-07
RHTO_02851	0.000194056667687677
RHTO_08056	2.993563822455013e-07
RHTO_02085	9.372142567926922e-07
RHTO_06415	5.605213295990645e-06
RHTO_07022	1.1094506711867043e-06
RHTO_03678	4.884507890684525e-08
RHTO_00671	6.086425466562257e-07
RHTO_07228	1.4831463369512762e-06
RHTO_00203	4.339863739289749e-07
RHTO_02006	1.5912179358860164e-07
RHTO_06489	5.461457995887514e-07
RHTO_08014	7.906832912849113e-08
RHTO_05638	3.210323187608326e-09
RHTO_02265	2.509189048282678e-06
RHTO_02653	3.554028330148354e-08
RHTO_04662	4.962035969995241e-06
RHTO_01333	1.5477975629157357e-06
RHTO_07803	3.7156799189589076e-07
RHTO_04466	3.0038596428248045e-08
RHTO_07334	5.1322435049489124e-05
RHTO_04795	7.918092154863534e-07
RHTO_01826	5.439367858924506e-07
RHTO_00574	5.967913966588115e-07
RHTO_01844	6.094911194019297e-08
RHTO_01538	9.184635972068825e-06
RHTO_07649	4.2342337233597754e-07
RHTO_07413	1.8490561237149758e-07
RHTO_02684	1.182749585404506e-08
RHTO_01591	7.713783384252802e-07
RHTO_01202	4.596400849878728e-07
RHTO_05348	5.402244562447298e-08
RHTO_06041	2.770453261005735e-08
RHTO_02021	7.888890836688114e-07
RHTO_04787	1.1791664991168458e-07
RHTO_03745	1.916015709826238e-05
RHTO_07973	4.789907644070512e-08
RHTO_07911	0.0001319802574324379
RHTO_00186	2.8732694350569068e-08
RHTO_02105	9.457116050918536e-08
RHTO_06321	2.0329825818597724e-06
RHTO_03397	6.571241099667523e-08
RHTO_05887	1.3564870487762531e-09
RHTO_07595	4.328640346855885e-08
RHTO_04436	5.340660810917957e-06
RHTO_03737	0.0001339153281893388
RHTO_04213	1.1075732791750169e-06
RHTO_06994	0.00013437455823647442
RHTO_00225	5.847886874002313e-07
RHTO_05617	5.626339428742166e-05
RHTO_03489	1.8650963750221943e-08
RHTO_05261	4.675836952780383e-07
RHTO_00210	3.220687790182456e-07
RHTO_05756	8.405269413645472e-07
RHTO_07244	6.250311283552143e-07
RHTO_03145	2.7741470450086327e-08
RHTO_06198	1.1929605685025305e-07
RHTO_00785	1.747252228191104e-06
RHTO_04250	1.0542062793280754e-08
RHTO_01501	3.7562251229858555e-07
RHTO_03511	8.744531749119717e-08
RHTO_06754	3.663007123800696e-07
RHTO_00378	2.1778276988409746e-06
RHTO_03636	4.1099786919696286e-08
RHTO_05517	5.6403159191524676e-05
RHTO_02861	5.277729979575317e-07
RHTO_05838	1.7112800029357813e-05
RHTO_02759	3.330448000931469e-06
RHTO_00280	6.986513319653523e-07
RHTO_07180	1.8396173276021413e-07
RHTO_08029	4.6345702324880417e-07
RHTO_05876	2.7739646507697847e-06
RHTO_03348	5.313162776159922e-06
RHTO_03726	5.012586123120456e-07
RHTO_00694	5.2992889559456544e-08
RHTO_06878	6.0978814220023e-07
RHTO_05237	4.74629416297306e-08
RHTO_05820	7.089462762555453e-07
RHTO_02610	2.4211981919594282e-08
RHTO_00847	5.128520124174016e-07
RHTO_00606	8.346454678639073e-07
RHTO_04980	6.598355795885334e-07
RHTO_02962	1.3194695988040517e-07
RHTO_04596	1.9025145529717822e-08
RHTO_05526	1.0448266807208035e-05
RHTO_00820	3.6496081970592177e-07
RHTO_07703	0.0
RHTO_06916	7.274713602032067e-09
RHTO_01790	1.4327506544864023e-06
RHTO_03695	3.365883505442099e-06
RHTO_00368	1.3546641852565581e-06
RHTO_01241	3.362605252721123e-07
RHTO_01664	5.247411403674038e-08
RHTO_08115	3.8018274598620344e-08
RHTO_01468	6.053598499050409e-08
RHTO_01903	1.6318095766508957e-07
RHTO_03027	1.1860604868040128e-06
LSM8	1.1882781585141006e-06
RHTO_05248	1.0346946867386949e-07
RHTO_01678	1.4694439640610908e-07
RHTO_00179	2.827515654520872e-06
RHTO_05265	2.6224142418154854e-08
RHTO_01843	3.090928764771633e-06
RHTO_00906	2.4968080771701913e-06
RHTO_06585	2.741661531864e-07
RHTO_02328	4.118799546438475e-06
RHTO_00226	3.2002006203177e-07
RHTO_03144	1.7665726807846561e-06
RHTO_06824	1.922922795753649e-08
RHTO_04931	2.336551484350846e-08
RHTO_01953	0.0
RHTO_01583	5.837669935081525e-07
RHTO_00519	1.9267335718910092e-07
RHTO_06792	0.00010936513153353022
RHTO_06169	4.5533832551938496e-08
RHTO_05379	5.490289364276012e-07
RHTO_02458	9.786938200013394e-07
RHTO_02002	6.870976291842145e-08
RHTO_06702	1.0471441239482584e-06
RHTO_06008	1.1969987171920542e-06
RHTO_08131	1.4046235944875878e-07
RHTO_05689	2.425426620591479e-09
RHTO_03107	3.1814542165796274e-07
RHTO_00112	2.6091741272432844e-07
RHTO_03427	3.659605514901969e-10
RHTO_06445	7.720879441933179e-07
RHTO_00453	5.333696649797329e-07
RHTO_01781	4.3724582487443885e-08
RHTO_04660	1.3516382138669345e-06
RHTO_03160	2.859374499465645e-08
RHTO_04411	1.760764814950993e-06
RHTO_07984	7.960694389462565e-07
RHTO_03082	8.02012512010628e-08
RHTO_00955	1.8287329159996897e-07
RHTO_04136	1.3627507434294223e-08
RHTO_05056	0.0
RHTO_00602	7.598106369165661e-07
RHTO_04354	7.986456903958114e-08
RHTO_00734	4.297298821809663e-07
RHTO_02775	3.2391627461316454e-06
RHTO_06280	4.7707680309258416e-08
RHTO_01370	3.760718317504465e-08
RHTO_04665	2.2293825600367193e-06
RHTO_05377	3.423728405353078e-07
RHTO_01444	6.733684697186505e-08
RHTO_05182	7.554695352855666e-08
RHTO_04421	7.5420997511713495e-06
RHTO_04715	4.038019118921719e-08
RHTO_05872	2.0542443907712447e-06
RHTO_02977	5.061748748579828e-07
RHTO_07596	3.287919656885551e-05
RHTO_04708	1.939293282406234e-07
RHTO_03892	1.1883224895885029e-06
RHTO_04273	4.149636739886949e-08
RHTO_04690	3.59818570364929e-07
RHTO_03166	8.984649953053972e-06
RHTO_00685	9.61513301351707e-07
RHTO_06361	6.721652200148947e-08
RHTO_03182	9.36893381863192e-07
RHTO_00315	1.0882554666590194e-08
RHTO_04472	1.1050072989710967e-07
RHTO_05209	3.758560131453546e-06
RHTO_02536	4.940338901549403e-08
RHTO_03834	6.215214099348296e-07
RHTO_00192	3.3569052047203843e-07
RHTO_04880	2.2474363560068495e-08
RHTO_00760	1.3265930639957614e-07
RHTO_05301	2.961577101181803e-05
RHTO_00389	7.006466860230592e-07
RHTO_03731	3.0653258092677154e-06
RHTO_04414	8.694269863310042e-07
RHTO_03594	4.3533183390597785e-06
RHTO_04846	3.1973901806962903e-06
RHTO_00867	2.011484478406825e-08
RHTO_02384	1.0551145975920331e-05
RHTO_03064	1.4384631710642358e-06
RHTO_04115	6.338625224336654e-07
RHTO_01518	1.0976196520277752e-07
RHTO_03719	5.253290134729746e-08
RHTO_06352	1.1376869570047645e-06
RHTO_02686	1.792232900804981e-08
RHTO_06553	1.7826896486552346e-06
RHTO_00629	3.6083040700052805e-07
cyn1	1.1539784975275047e-06
RHTO_06272	5.996263387097975e-06
RHTO_05193	1.035227283237885e-05
RHTO_03243	3.7100011020277924e-08
RHTO_06805	1.6584175992485155e-08
RHTO_06539	9.114207146112101e-05
RHTO_03595	1.806886717713205e-06
RHTO_03874	3.5425332327491824e-08
RHTO_03177	2.710353340375332e-07
RHTO_07704	1.1804477947123534e-08
RHTO_07303	2.1917925693234785e-06
RHTO_04214	2.8778507560482476e-07
RHTO_05094	2.987449836192119e-07
RHTO_05386	2.6024773474538026e-07
RHTO_05732	2.3719697333556125e-06
RHTO_02308	1.158382180324165e-09
RHTO_04724	3.142280382004656e-08
RHTO_02714	3.3123856500957936e-08
RHTO_01303	3.7998954085354685e-06
RHTO_00850	2.949280084482449e-07
RHTO_04936	8.983128050418554e-08
RHTO_02822	5.567380378177477e-08
RHTO_00733	4.146596767457463e-06
RHTO_00401	3.682726038358739e-07
RHTO_02899	1.8179728116958077e-07
RHTO_07427	4.4237093521458935e-07
RHTO_04675	4.5434723030457694e-08
RHTO_02273	9.076823881026958e-07
RHTO_01888	1.1918890737201739e-07
RHTO_07757	1.7392707142928076e-07
RHTO_03875	2.3779952500279066e-08
RHTO_04098	3.9612079655454025e-07
RHTO_05318	4.6587010468216813e-07
RHTO_01039	1.7630435619792085e-06
RHTO_07626	1.6204795354486716e-07
RHTO_05191	5.250040468776239e-06
RHTO_06281	7.74109713801254e-09
RHTO_01365	8.643622610879255e-06
RHTO_07374	1.5816770077890203e-06
RHTO_05270	3.2379744622815513e-06
RHTO_01308	6.35069726322707e-09
RHTO_00245	3.166848438133572e-07
TIF32	7.23272212216763e-07
RHTO_08144	1.8951669175695283e-07
RHTO_03467	7.987225608012593e-08
RHTO_04592	0.00013138925171476276
RHTO_02887	1.8406391206508373e-07
RHTO_05126	1.5455461707148243e-06
RHTO_00459	3.2982441357849067e-07
RHTO_06309	6.349232392364288e-07
RHTO_05266	1.7504995781234115e-07
RHTO_05308	3.956396908909357e-07
RHTO_05566	2.4798375491139833e-07
RHTO_05973	3.800891992929528e-07
AIM41	1.7373791045112967e-06
RHTO_05260	7.879946302817939e-09
TRM8	3.944157379011472e-07
RHTO_07399	5.826137073370077e-09
RHTO_05717	1.7094952513923644e-07
RHTO_03508	4.8278038919598746e-08
RHTO_06778	1.786276107140104e-07
RHTO_01204	0.0
RHTO_03031	1.5946426488223878e-08
RHTO_05957	0.0
RHTO_01246	2.568568684931463e-08
RHTO_00404	5.639738161961999e-08
RHTO_07935	9.548721275057015e-08
