uniprot	Gene_names	Gexp_1	Gexp_2
M7WWE2	RHTO_05097	0.0002398155055932442	0.00024157711057453435
M7WXM9	RHTO_07691	6.892496624630014e-05	7.158498282436765e-05
M7X3L7	RHTO_05106	0.00022992357497233246	0.0002495634804133126
M7WQZ1	RHTO_07842	6.660908917699244e-05	6.365959127629284e-05
M7X4F3	RHTO_05796	4.293711940242254e-05	4.006079770346829e-05
M7XE29	RHTO_06406	4.814411403458166e-05	4.549104874647299e-05
M7WI96	RHTO_03746	0.00012733297053155342	0.0001225490529003263
M7WXB6	RHTO_00789	4.4246585089310066e-05	4.664056185709888e-05
M7WWX9	RHTO_07954	0.00013679481720058374	0.00014395357020046356
M7X749	RHTO_00323	9.267439197694926e-05	8.814184975345621e-05
M7X3Z4	RHTO_02788	6.178790135685287e-05	6.052676599710492e-05
M7X6X3	RHTO_00539	1.1758506022895918e-05	1.2451804315815808e-05
M7WZ10	RHTO_07648	6.918390725928432e-05	6.699871223482209e-05
M7WKZ9	RHTO_05917	0.00033823689611989184	0.0003020367146696376
M7XNL9	RHTO_03248	3.363314347738598e-05	3.0537595101088805e-05
M7XF42	RHTO_05648	5.1015865279713025e-05	4.942202164283853e-05
M7WHC9	RHTO_03915	7.12503137381476e-06	7.506098692070599e-06
M7XHF8	RHTO_04363	0.00011059037866741197	0.00010474067828916139
M7XQS8	RHTO_00857	0.00025977223000936596	0.00025327163433146524
M7WQK0	RHTO_08150	0.0003880588765409926	0.00032951248046975704
M7WIJ4	RHTO_03573	2.606391219355768e-05	2.5524728122670442e-05
M7WXX4	RHTO_03206	5.578844530125571e-05	5.313838704848253e-05
M7WKL7	RHTO_05838	6.36227521619987e-06	5.941924757766101e-06
M7XJ40	RHTO_06973	2.100107413276756e-05	1.97243967457925e-05
M7X8C7	RHTO_03963	5.108593686921417e-05	5.2742593374042776e-05
M7XN51	RHTO_03062	1.2139910564907997e-05	1.5227225711921337e-05
M7XAS2	RHTO_02455	0.00044680893723233957	0.0004413393777847655
M7X113	RHTO_06010	0.0005090613190974349	0.0004913169471786081
M7WYP6	RHTO_00155	0.0002318778314178326	0.0002135014165276837
M7WVL3	RHTO_04816	0.00022660835618148843	0.00021267227972925014
M7X0F2	RPS1	0.00012562991238515664	0.0001302441957063732
M7X2B5	RHTO_04650	8.3163789618563e-05	7.425280229209012e-05
M7X6Q6	RHTO_00474	6.524279380377088e-05	6.721615529236893e-05
M7WT03	RHTO_02067	0.00021717141405194537	0.00022248972126641078
M7X8D2	RHTO_03968	0.00015567310617300618	0.00015676714595559
M7WJP1	RHTO_07683	0.00018596750615984745	0.00017549608228726403
M7WPZ9	RHTO_03665	0.0003681288962254941	0.00035797507902543844
M7WLM0	RHTO_01873	0.00013274699360829597	0.00011942974302442352
M7WRD8	RHTO_02569	5.382529306310006e-05	5.753893372531064e-05
M7X0R7	RHTO_06955	7.019113522034472e-05	6.343631896148375e-05
M7X3Q5	RHTO_02697	1.3651009450964873e-05	1.3203554473622512e-05
M7XLZ6	RHTO_05119	0.00013938665634516138	0.000131834443102128
M7XKK7	RHTO_04592	0.00038361961687315453	0.00036114187922652507
M7XJG9	RHTO_06048	8.54350752568753e-05	8.153924648165303e-05
M7X5L6	RHTO_03113	0.00018050931755483803	0.0001709373863795292
M7WMJ7	RHTO_05208	0.0001338681255732759	0.0001095589910222845
M7WLD5	RHTO_05768	4.6345656642923043e-07	5.055699317095839e-07
M7WYV8	RHTO_07911	0.0003261148700277517	0.0003614395134347664
M7X5F4	RHTO_03043	4.693735464715385e-05	4.404068472320128e-05
M7WXT3	RHTO_07756	0.00028141023393976074	0.0002600113115488236
M7XE86	RHTO_05964	0.00021278320265274823	0.00020739854984956282
M7XZ23	RHTO_03292	0.00033741132812320447	0.0002932779528955277
M7WW95	RHTO_05042	7.825994827676892e-06	7.580982165313184e-06
M7WMR9	RHTO_01459	2.204812523374506e-06	2.122324887467584e-06
M7X9F4	RHTO_03560	5.622164523681809e-05	4.9321316687385176e-05
M7X689	RHTO_00033	3.529209860203537e-05	3.411319632733188e-05
M7X2U9	RHTO_01981	0.00025997405562252254	0.00027705637355691454
M7XDT3	RHTO_06539	0.00023430612518141066	0.00024851157998603563
M7X5D5	RHTO_05447	0.00039758482253516073	0.0003859198167721049
M7WTR2	RHTO_02116	0.00045492549989394407	0.00045463762032494335
M7XKU4	RHTO_02373	0.00040903527044783874	0.00040980495114603747
M7WPY7	RHTO_03655	0.0004075770387078222	0.0004097086844152971
M7XU45	RHTO_06792	0.0003453368047886461	0.0003151976204658189
M7XMR9	RHTO_01538	1.575308598794767e-05	1.614705239583418e-05
M7X3D9	RHTO_05011	0.00015992567952705534	0.00015799050149500034
M7WYS8	RHTO_07886	0.00022013074901050062	0.0002085779803156604
M7X6H4	RHTO_00384	2.0824447089429456e-05	1.9663779892903206e-05
M7XAY4	RHTO_02290	0.00017665187105665	0.00019099148159002532
M7WQ86	RHTO_03745	2.3876938148382716e-05	2.3245747876787272e-05
M7XQ75	RHTO_00632	0.00021493938956226971	0.00020769287704506452
M7WZP5	RHTO_00545	2.8916841695254302e-05	2.736289395069337e-05
M7X2E5	RHTO_06249	0.0002591051058226575	0.0002538714593964813
M7WM05	RHTO_05617	0.00016391086571681298	0.00018295405441912492
M7WNZ9	RHTO_04058	1.743922084327913e-05	1.574314818349213e-05
M7X1K0	RHTO_06190	0.00026906994029552355	0.0002542632300089912
M7WNW6	RHTO_04325	0.00011599280313316715	0.0001158417862237999
M7XFU8	RHTO_05390	0.00010459738388525033	0.00010397543775996271
M7XGB9	RHTO_05130	0.00028119119759588965	0.00025707007878550793
M7X5J4	RHTO_05517	0.00014458342693043206	0.00014485130005207632
M7WUU3	RHTO_01695	7.007260317280553e-05	6.945630766340631e-05
M7X0J3	RHTO_07359	9.719414796253626e-05	9.382311870186889e-05
M7X2T0	RHTO_04593	0.00024498684430300353	0.0002340696811512989
M7XBX1	RHTO_02115	0.00017731926972262062	0.0001853769422277902
M7X6Q2	RHTO_00469	0.00040953373350162674	0.0004031146163173306
M7XZM3	RHTO_00206	0.00010972048533084767	0.00010697424266475107
M7XRQ3	RHTO_07773	6.16698638316347e-05	5.53604634739793e-05
M7X2K5	RHTO_04740	0.00016314152736425502	0.00017469715366276524
M7XFR0	RHTO_08027	1.7487001984998688e-06	1.7055544134153616e-06
M7XJ98	RHTO_07038	7.46616679291912e-05	6.947620351823209e-05
M7XVW7	RHTO_04566	5.2950185959977566e-05	5.0993478769618166e-05
M7XJ56	RHTO_03737	0.0001694847407188852	0.00015982434141178226
M7WNA8	RHTO_04326	0.00017718232106972323	0.00017523793697038273
M7WPC7	RHTO_03965	9.331310298986857e-05	9.639004774076259e-05
M7WIG9	RHTO_03543	1.9025127543226863e-05	1.8242252517989116e-05
M7WR40	RHTO_07893	1.3848827649459315e-05	1.363915424092048e-05
M7WR16	RHTO_07868	9.985125223569082e-05	0.00010348999664881347
M7X2P0	RHTO_04775	2.704584725430458e-06	2.691313932043476e-06
M7WXT8	RHTO_03161	0.0001952744456083842	0.00019211951649446117
M7WR01	RHTO_07853	1.16881719070854e-05	1.1262883883498456e-05
M7XFJ5	RHTO_05461	0.00011037893497400907	0.0003922996539895331
M7XXD2	RHTO_05103	9.630672891060665e-05	9.818635440853033e-05
M7XSC4	RHTO_07480	7.147528850244633e-07	6.896063791286898e-07
M7XM89	RHTO_02139	1.871922060328887e-07	1.8402654256374714e-07
M7WMX7	RHTO_04427	4.653722121950479e-05	5.041642588716059e-05
M7XA66	RHTO_02577	0.0002579636051638109	0.00021271686486830097
M7WP66	RHTO_04185	0.00015702728690524198	0.00014219248966929851
M7WTN9	RHTO_01922	2.561266616188909e-06	2.3140861029796463e-06
M7WZ44	RHTO_07080	6.176207271848222e-05	6.244270325598994e-05
M7XI84	RHTO_03896	1.810320805304021e-05	1.664647895992901e-05
M7X852	RHTO_04131	2.6312455856497557e-05	2.6843528984973223e-05
M7XE28	RHTO_01289	2.133519703268199e-05	2.0608809045527363e-05
M7X3J1	RHTO_06581	3.2607002357583796e-06	3.1742453268077653e-06
M7XRX0	RHTO_07843	0.00013169563980986766	0.00011436226583990409
M7WME7	RHTO_01329	5.335406868306717e-05	5.165047581379341e-05
M7WH92	RHTO_04114	8.758775944981872e-05	8.350121933315099e-05
M7X560	RHTO_05714	6.195446535982508e-06	5.907645203101555e-06
M7WHD4	RHTO_03921	2.049469282436071e-05	1.8322836085168816e-05
M7XMJ4	RHTO_01854	7.036327252722971e-05	6.627089264565181e-05
M7WU42	RHTO_01866	4.71616429616179e-06	5.030364959390999e-06
M7XEU6	RHTO_05746	1.870219531926678e-05	1.702411172771825e-05
M7WN97	RHTO_04315	1.016884079744941e-05	8.912948429006525e-06
M7XRJ6	RHTO_07708	2.1416315229394907e-05	1.8849781768782036e-05
M7XIE1	RHTO_03967	0.0003190397649940825	0.00030408076565584935
M7WN01	RHTO_05162	1.692343512870628e-05	1.6354419629187213e-05
M7WGA7	RHTO_04463	4.460253914865214e-06	4.816803063209029e-06
M7XQ01	RHTO_01027	1.8614565890240952e-05	1.802798706742245e-05
M7WRF4	RHTO_02584	0.0005611641809825981	0.0005793897922193147
M7X3I2	RHTO_04839	8.433247080905567e-05	8.827267538551951e-05
M7X6E8	RHTO_00354	0.00024165314657290256	0.00024566863381704095
M7X3N3	RHTO_04890	8.553756299881793e-05	8.202846863989624e-05
M7XJM1	RHTO_03594	7.209570275037802e-07	7.399392935455941e-07
M7XQH9	RHTO_00592	2.223344003463466e-06	2.4307374430083486e-06
M7WK47	RHTO_02483	0.0006740224805015088	0.0006775251870170034
M7WUD3	RHTO_01560	4.984144158217477e-06	4.852900180308311e-06
M7XN95	ADK1	2.5535064768327083e-05	2.4704565121687692e-05
M7WS17	RHTO_02628	3.934171572696234e-06	3.959361909375301e-06
M7XK72	RHTO_06248	0.00022619543470060047	0.0002224777177028284
M7XB33	RHTO_02232	5.0178245076438526e-05	6.841760727317702e-05
M7WV44	RHTO_01367	0.0001475528461004279	0.0001773031199094785
M7X0X5	RHTO_07025	3.153352817401571e-05	2.8165928785806893e-05
M7XGI7	RHTO_07860	2.495859389294166e-06	2.63399204101502e-06
M7WU96	RPS0	0.00020204786235627288	0.0001861930212031622
M7XRG0	RHTO_08151	0.0008780231559088122	0.0008363952572643574
M7XLR4	RHTO_02004	2.8622694975704527e-07	2.7601626765428675e-07
M7WMY0	RHTO_05147	1.8289863531258144e-05	1.7783897740350326e-05
M7WY54	RHTO_03291	3.853809447220463e-06	3.749027763543748e-06
M7XGU7	RHTO_04540	8.715239783547009e-06	8.848651800912528e-06
M7WQF1	RHTO_03507	9.163268433647964e-07	8.482545085441824e-07
M7X2W2	RHTO_04629	4.754173527334197e-06	4.967582390107053e-06
M7XB76	RHTO_02176	0.00017672263504790267	0.00015744413882208205
M7WNY9	RHTO_04048	0.00010577267304567116	0.0001085123779473277
M7WZN9	RHTO_00540	1.8603650789701962e-05	1.6342746770605023e-05
M7X428	RHTO_05035	0.0003239624416804198	0.00034521905457725766
M7X347	RHTO_06703	1.6576009939158104e-05	1.55357992872243e-05
M7XCH4	RHTO_01534	5.084130249234171e-06	5.218826483898558e-06
M7WUR7	RHTO_06331	1.2798851640075744e-05	1.1316824792850066e-05
M7WD54	RHTO_06455	1.3406779754839804e-05	1.2527844403243956e-05
M7WUI5	RHTO_01610	1.6554161745074868e-05	1.6342096271964783e-05
M7WT79	RHTO_01970	1.595773678928861e-06	2.0121144052001332e-07
M7WRL6	RHTO_03444	7.8901631021141e-06	6.666597865176959e-06
M7WRH8	RHTO_03404	1.3139763260067515e-05	1.4732587111376394e-05
M7X4X3	RHTO_03109	1.0270918901100066e-05	1.0347672819273456e-05
M7WW42	RHTO_01290	2.1523342275128017e-05	1.8457083222280903e-05
M7XAZ8	RHTO_02175	0.0003235682967596344	0.0002834728802706949
M7WYL9	RHTO_07820	6.565778763850843e-06	6.50897320319513e-06
M7WXC3	RHTO_00794	6.287470054774555e-06	6.048891864011481e-06
M7X9Q1	RHTO_03373	0.00019009510764520667	0.000172527563681967
M7X791	RHTO_00373	6.386151224058012e-06	7.551722400536081e-06
M7X710	RHTO_00278	1.7622506187534357e-05	1.5877730802769656e-05
M7WKI7	RHTO_06468	1.2699224601235234e-05	1.366953287096658e-05
M7WKC4	RHTO_06551	1.1026945604729544e-05	1.0573399936373409e-05
M7WS38	RHTO_07106	8.677592203263904e-08	8.224910581843127e-08
M7X9L2	RHTO_03328	5.314779133198147e-05	4.945954826852129e-05
M7WG58	MET3	1.387966023135577e-05	1.3473426532845732e-05
M7WEI6	RHTO_05569	9.30918935571378e-05	9.265356073416351e-05
M7WQF0	RHTO_03654	6.887616089976191e-05	6.985390938925148e-05
M7WJY9	RHTO_02403	8.277110368430251e-05	
M7WT18	RHTO_06766	0.00016218884619300926	0.00016382744977749378
M7XKL5	RHTO_02646	3.1526129690131114e-05	2.9318024152967518e-05
M7WQS8	RHTO_07772		
M7XLS1	RHTO_02009	0.00019006585973802508	0.00018685950667065933
M7X1F6	RHTO_06994	0.00022960023960064477	0.00024226858228607718
M7X1E3	RHTO_06979	1.8338466462914525e-05	1.6341632171164695e-05
M7WUE8	RHTO_01338	5.173250760454581e-05	3.102779650242661e-05
M7WXP8	RHTO_07988	8.761025659599992e-06	8.771489832427764e-06
M7X4L7	RHTO_02988	4.140415540945901e-06	4.099719325484034e-06
M7WJJ9	RHTO_06614	8.349201838620943e-07	8.19897111381668e-07
M7XGE1	RHTO_07804	0.00011753796705357147	0.00012932849968708775
M7WYS7	RHTO_00185	1.6592750731840321e-06	1.8653258211761974e-06
M7WFC5	RHTO_05290	3.711424816463203e-05	3.3745311987922154e-05
M7WWV0	RHTO_01064	1.5930649642796208e-06	1.4965041840756397e-06
M7WL18	RHTO_02048	1.241600165016211e-05	1.4472725035519793e-05
M7XG68	RHTO_05301	6.884295169508845e-05	6.59725629659847e-05
M7XHB6	RHTO_07596	8.65901049826427e-05	7.530306394813248e-05
M7WV85	RHTO_01392	3.480169029113856e-06	3.909783991476914e-06
M7XSU0	RHTO_07620	1.2353239759296574e-05	1.455713138060358e-05
M7XLD8	RHTO_04874	2.438006911546361e-05	2.2851002212249534e-05
M7WLT0	RHTO_01933	0.00022296800845639664	0.00021580955807981174
M7X7E9	RHTO_00443	6.028543158581643e-05	6.919283950570396e-05
M7WW62	RHTO_05007	4.6592644443734747e-07	3.763798583045078e-07
M7WM30	RHTO_05264	9.01013724574983e-06	7.940071884737593e-06
M7WJX3	RHTO_06639	9.961972367167125e-06	8.536337779855124e-06
M7XJJ4	RHTO_06068	8.170258801021859e-06	7.079950913666958e-06
M7WYE0	RHTO_00070	0.0001764294880615358	0.0001590785990285488
M7X0P7	RHTO_06930	8.373188048268477e-05	7.94103878623982e-05
M7WQ96	RHTO_03853	3.8281020366448126e-05	4.891969480089014e-05
M7Y042	RHTO_00391	1.6041158044344377e-05	1.4866647848647237e-05
M7WKF8	RHTO_02312	7.841522403812723e-06	8.561844986636559e-06
M7WNN8	RHTO_00906	5.421651039505569e-06	4.144569129810801e-06
M7WNR0	RHTO_04216	9.357192415428588e-05	0.00010024365446556492
M7WXS9	RHTO_08013	5.548124267904388e-06	5.439336043952154e-06
M7WTI0	RHTO_01852	9.69460095684796e-06	9.952375276488298e-06
M7WTW2	RHTO_01776	1.9017103054341994e-05	1.7332734558621048e-05
M7WMH0	RHTO_01354	8.790474073116852e-06	8.556835158693195e-06
M7WV92	RHTO_01402	7.080076100458799e-05	6.970967591243532e-05
M7XPZ4	RHTO_01017	7.848506695894133e-05	6.0826591706667547e-05
M7X4D0	RHTO_02909	7.64141496141248e-06	6.7066705189844154e-06
M7WVH9	RHTO_04781	9.374377578591632e-06	9.089324722547903e-06
M7XIK9	RHTO_06773	1.1834448749963576e-05	1.1560240795704134e-05
M7X6H1	RHTO_05191	1.0637997163807941e-05	9.496295426007986e-06
M7XDN2	RHTO_01139	1.8232355907996967e-05	1.628115839646676e-05
M7XLU8	RHTO_05064	2.1197134911930427e-05	1.9319821176478503e-05
M7WTM4	RHTO_01907	9.293893093012583e-06	1.0717075319366213e-05
M7WQ15	RHTO_03763	2.7133187159502207e-05	2.823627272445931e-05
M7WEG7	RHTO_05549	9.853895895827578e-07	9.520615777711911e-07
M7X3F9	RHTO_04819	5.690689495628939e-06	6.1273929805736915e-06
M7XYI4	RHTO_03081	0.0005277800384911525	0.0004979753282743514
M7XG88	RHTO_07734	2.441409289853523e-05	2.9389312668995207e-05
M7XXN8	RHTO_02759	6.814533754592879e-06	6.725471838033129e-06
M7XK01	RHTO_06193	8.306408662181948e-06	8.754174905313566e-06
M7WUM6	RHTO_06286	5.026106081858764e-05	4.346852532728928e-05
M7XHY3	RHTO_07248	8.377782754127708e-06	9.314755382249626e-06
M7X3L3	RHTO_05101	2.3627078046562214e-05	2.498041144188135e-05
M7WSH7	RHTO_02446	9.592341544401172e-06	8.693229867335525e-06
M7XKW6	RHTO_04703	2.2894078156323466e-06	2.375509124791082e-06
M7XJI6	RHTO_03559	5.232530099382005e-06	5.140111061604953e-06
M7WK27	RHTO_02458	4.254644486098426e-06	4.546969239170541e-06
M7X1R6	ALA1	1.6150215593503942e-06	1.6343721345588839e-06
M7X5A4	RHTO_05591	2.2965553584263165e-05	2.258343448355709e-05
M7XRN2	RHTO_07748	1.3385675939490318e-05	1.400274941249569e-05
M7WY92	RHTO_00025	4.136950474592873e-07	4.095183615418035e-07
M7X6R9	RHTO_00168	1.0490284133678152e-05	1.026450236917641e-05
M7X0G6	RHTO_07334	5.6051680293199705e-05	5.04309582408027e-05
M7WR65	RHTO_07923	9.404351121078081e-06	8.661511730794e-06
M7WQW2	RHTO_07812		
M7XQ32	RHTO_00462	4.951066782115604e-06	5.112814561473093e-06
M7WLQ0	RHTO_01903	7.054006215712101e-08	4.9278563398638e-08
M7X369	RHTO_06694	4.466807344373366e-06	4.781966071069822e-06
M7X639	RHTO_03294	9.744951058120079e-06	8.422855553569852e-06
M7XPE3	RHTO_00177	1.5203833430452483e-05	1.327971548668587e-05
M7X3V9	RHTO_06477	1.6042129628920219e-06	1.5068342148556345e-06
M7X4Y4	RHTO_02888	2.878544214317636e-05	2.6777458960688832e-05
M7XCQ6	RHTO_01629	6.353385720837885e-06	4.59490614871999e-06
M7X5S9	RHTO_00114	6.827579451876623e-05	6.640277481258687e-05
M7WL95	RHTO_02113	1.1905242041925984e-06	1.1024957596662899e-06
M7X137	RHTO_06035	4.1514341252247235e-06	4.352002756076104e-06
M7XIF3	RHTO_03982	5.196171471257328e-07	8.913121850907055e-07
M7WP44	RHTO_01051	5.2680744912130545e-06	4.551146878575158e-06
M7WVW2	RHTO_01205	1.2063823816106888e-05	1.1108678590134267e-05
M7X3R8	RHTO_02712	1.3867394830118147e-05	1.2958817465099278e-05
M7X3S2	RHTO_06514	9.641751874909551e-05	0.0001104288185257047
M7X8U4	RHTO_03637	4.362428453974512e-05	3.8488218670719906e-05
M7XMK6	RHTO_01869	1.1365287829477682e-05	1.0427692020122574e-05
M7X4K6	RHTO_02974	2.3260622879969435e-06	2.185297536085825e-06
M7WWW0	RHTO_07939	2.8491154358502616e-05	2.495527608872624e-05
M7WSW5	RHTO_02032	3.0792262981629563e-07	3.244534954375198e-07
M7XZV4	RHTO_00296	1.2726560559471093e-06	1.1256064743716813e-06
M7WXU4	RHTO_07771	6.842980869811294e-05	6.490621873992421e-05
M7XQA8	RHTO_00667	1.3290849294385854e-06	1.3244607039016065e-06
M7WI20	RHTO_03666	3.5711359046636604e-05	3.8848997730847754e-05
M7X207	RHTO_06344	6.358455840752465e-06	5.7844801265740075e-06
M7WYA2	RHTO_07690	4.730123598233191e-06	4.949689891883259e-06
M7WLQ9	RHTO_05368	0.00011082873292291451	0.00011311790251332862
M7WWD3	RHTO_05087	1.137213701729992e-06	1.0620317293439324e-06
M7XEQ5	RHTO_01053	1.7912761833696875e-06	1.7093021469523846e-06
M7X0Z1	RHTO_07040	5.333938279226154e-06	4.98673232703973e-06
M7WQ42	RHTO_03705	5.933131819094669e-05	5.7892533029884195e-05
M7X9Y7	RHTO_02497	1.8258991444737066e-05	1.7540825222581215e-05
M7WUJ6	RHTO_01625	1.5155175325215237e-06	1.6831508958800152e-06
M7XYF6	RHTO_03046	6.358625687574849e-06	5.968581687274903e-06
M7XIR7	RHTO_06818	3.846066013509435e-06	3.57454254537585e-06
M7XP32	RHTO_01168	3.973761264786362e-05	3.512029917914925e-05
M7WP10	RHTO_04073	8.50750603812391e-06	7.30736092089705e-06
M7XDY4	RHTO_06528	1.9226072005479994e-05	1.9350306596621348e-05
M7XJK1	RHTO_06073	1.8941206160234887e-05	1.8844572989582686e-05
M7XLP5	RHTO_04994	2.1323277391725358e-06	2.3166407490311004e-06
M7XGH5	RHTO_07844	3.9372415791014935e-06	4.0698953779484925e-06
M7X688	RHTO_00279	1.1352130040982088e-05	1.0290333103085308e-05
M7WWH0	RHTO_00949	7.612606539371607e-07	7.358565842358236e-07
M7X2K8	RHTO_06329		
M7XZD3	RHTO_00111	5.249843072906992e-06	4.539858445023309e-06
M7WMF3	RHTO_05407	1.7603983411079987e-05	1.6837193975451707e-05
M7WRA8	RHTO_07434	4.673067753487047e-07	1.1483052513787287e-06
