chain	FA	formula	MW	comp	Xexp_avg	Xexp_std	XNlim_avg	XNlim_std	Aexp_avg	Aexp_std	ANlim_avg	ANlim_std	GexpUrea_avg	GexpUrea_std	GNlimUrea_avg	GNlimUrea_std
C16:0	palmitate	C16H32O2	256.42	c	0.2982674815805756	0.0010293700736498021	0.3210278108493426	0.005015566647779658	0.18414301040222442	0.002094423231617987	0.21101433258516106	0.008803964175535051	0.17742217765253965	0.00123048483954079	0.26408622394276066	0.005887260560741552
C18:0	stearate	C18H36O2	284.48	c	0.06702229175194022	0.0003572225391753337	0.07172534220841605	0.0020601702892080274	0.13576911598375324	0.0024408227392371607	0.142681386847205	0.0041667529177741745	0.048701381491708544	0.003835811561905218	0.08640038061025083	0.0023384578958409066
C18:1	oleate	C18H34O2	282.46	c	0.4179356936173746	0.001189380269851916	0.42016797335434425	0.004654193211834577	0.42409042922314333	0.028757120784155658	0.5057691808999305	0.0055548334745147	0.3272908947756491	0.010444686663077478	0.5187275704212347	0.0036415431795007386
C18:2	linoleate	C18H32O2	280.44	c	0.16530992005678474	0.0030573692781578825	0.13633390761618558	0.0018001306299051346	0.1991247637821165	0.021664061459624375	0.11261965281603205	0.0007353486475012459	0.33889196354266415	0.007899883545968852	0.10066345956668121	0.00014181754969707893
C18:3	linolenate	C18H30O2	278.43	c	0.028806943071916315	5.8357090355915015e-05	0.022922115688101773	0.0003412970061204796	0.05687268060876253	0.007439458832150585	0.02791544685167143	0.00018227356925261984	0.10769358253743852	0.007611099518554586	0.022418809343970954	0.0004020800657686183
