Entry	Gene names_1	Gene names_2	system
M7WPC7	RHTO_03965	RHTO_03965	Ribosome
M7WPD1	RHTO_03970	RHTO_03970	Ribosome
M7WPZ9	RHTO_03665	RHTO_03665	Ribosome
M7WQ42	RHTO_03705	RHTO_03705	Ribosome
M7WQK0	RHTO_08150	RHTO_08150	Ribosome
M7WQK2	RHTO_03699	RHTO_03699	Ribosome
M7WQP6	RHTO_03740	RHTO_03740	Ribosome
M7WR15	RHTO_03551	RHTO_03551	Ribosome
M7WR16	RHTO_07868	RHTO_07868	Ribosome
M7WR90	RHTO_03319	RHTO_03319	Ribosome
M7WRF4	RHTO_02584	RHTO_02584	Ribosome
M7WRM5	RHTO_02644	RHTO_02644	Ribosome
M7WSK1	RHTO_07286	RHTO_07286	Ribosome
M7WSR6	RHTO_02296	RHTO_02296	Ribosome
M7WT03	RHTO_02067	RHTO_02067	Ribosome
M7WT18	RHTO_06766	RHTO_06766	Ribosome
M7WTL5	RHTO_06981	RHTO_06981	Ribosome
M7WTL8	RHTO_06986	RHTO_06986	Ribosome
M7WTR2	RHTO_02116	RHTO_02116	Ribosome
M7WTW0	RHTO_01771	RHTO_01771	Ribosome
M7WTY1	RHTO_01596	RHTO_01596	Ribosome
M7WU96	RHTO_06166	RHTO_06166	Ribosome
M7WUI8	RHTO_06236	RHTO_06236	Ribosome
M7WUN0	RHTO_01398	RHTO_01398	Ribosome
M7WUX7	RHTO_01523	RHTO_01523	Ribosome
M7WV44	RHTO_01367	RHTO_01367	Ribosome
M7WVB6	RHTO_04721	RHTO_04721	Ribosome
M7WVL3	RHTO_04816	RHTO_04816	Ribosome
M7WVU2	RHTO_00955	RHTO_00955	Ribosome
M7WVZ3	RHTO_01240	RHTO_01240	Ribosome
M7WWX9	RHTO_07954	RHTO_07954	Ribosome
M7WXQ8	RHTO_03125	RHTO_03125	Ribosome
M7WXT3	RHTO_07756	RHTO_07756	Ribosome
M7WXT8	RHTO_03161	RHTO_03161	Ribosome
M7WXU4	RHTO_07771	RHTO_07771	Ribosome
M7WYK1	RHTO_00125	RHTO_00125	Ribosome
M7WYS8	RHTO_07886	RHTO_07886	Ribosome
M7WYV6	RHTO_00230	RHTO_00230	Ribosome
M7WYV8	RHTO_07911	RHTO_07911	Ribosome
M7WZ67	RHTO_00360	RHTO_00360	Ribosome
M7WZB1	RHTO_00410	RHTO_00410	Ribosome
M7X0F2	RHTO_06815	RHTO_06815	Ribosome
M7X0J9	RHTO_07364	RHTO_07364	Ribosome
M7X0L1	RHTO_07374	RHTO_07374	Ribosome
M7X0V6	RHTO_06784	RHTO_06784	Ribosome
M7X113	RHTO_06010	RHTO_06010	Ribosome
M7X1F6	RHTO_06994	RHTO_06994	Ribosome
M7X1K0	RHTO_06190	RHTO_06190	Ribosome
M7X2E5	RHTO_06249	RHTO_06249	Ribosome
M7X2K5	RHTO_04740	RHTO_04740	Ribosome
M7X2T0	RHTO_04593	RHTO_04593	Ribosome
M7X338	RHTO_04709	RHTO_04709	Ribosome
M7X3A0	RHTO_06633	RHTO_06633	Ribosome
M7X3D9	RHTO_05011	RHTO_05011	Ribosome
M7X3I2	RHTO_04839	RHTO_04839	Ribosome
M7X3N3	RHTO_04890	RHTO_04890	Ribosome
M7X3X5	RHTO_04970	RHTO_04970	Ribosome
M7X428	RHTO_05035	RHTO_05035	Ribosome
M7X4B1	RHTO_02676	RHTO_02676	Ribosome
M7X4J0	RHTO_05841	RHTO_05841	Ribosome
M7X4K7	RHTO_05861	RHTO_05861	Ribosome
M7X5D5	RHTO_05447	RHTO_05447	Ribosome
M7X5J4	RHTO_05517	RHTO_05517	Ribosome
M7X5L6	RHTO_03113	RHTO_03113	Ribosome
M7X6E8	RHTO_00354	RHTO_00354	Ribosome
M7X6J9	RHTO_00128	RHTO_00128	Ribosome
M7X6K7	RHTO_04481	RHTO_04481	Ribosome
M7X6Q2	RHTO_00469	RHTO_00469	Ribosome
M7X7F7	RHTO_00453	RHTO_00453	Ribosome
M7X842	RHTO_04116	RHTO_04116	Ribosome
M7X8D2	RHTO_03968	RHTO_03968	Ribosome
M7X8U4	RHTO_03637	RHTO_03637	Ribosome
M7X8W9	RHTO_03663	RHTO_03663	Ribosome
M7XA66	RHTO_02577	RHTO_02577	Ribosome
M7XAQ2	RHTO_02430	RHTO_02430	Ribosome
M7XAS2	RHTO_02455	RHTO_02455	Ribosome
M7XAY4	RHTO_02290	RHTO_02290	Ribosome
M7XAZ8	RHTO_02175	RHTO_02175	Ribosome
M7XB33	RHTO_02232	RHTO_02232	Ribosome
M7XB76	RHTO_02176	RHTO_02176	Ribosome
M7XBX1	RHTO_02115	RHTO_02115	Ribosome
M7XC49	RHTO_01805	RHTO_01805	Ribosome
M7XCB9	RHTO_01880	RHTO_01880	Ribosome
M7XD11	RHTO_01321	RHTO_01321	Ribosome
M7XDT3	RHTO_06539	RHTO_06539	Ribosome
M7XE86	RHTO_05964	RHTO_05964	Ribosome
M7XEW0	RHTO_05756	RHTO_05756	Ribosome
M7XFE5	RHTO_05575	RHTO_05575	Ribosome
M7XFZ3	RHTO_08102	RHTO_08102	Ribosome
M7XFZ9	RHTO_05242	RHTO_05242	Ribosome
M7XG68	RHTO_05301	RHTO_05301	Ribosome
M7XGB9	RHTO_05130	RHTO_05130	Ribosome
M7XH78	RHTO_04282	RHTO_04282	Ribosome
M7XHD7	RHTO_07626	RHTO_07626	Ribosome
M7XHU6	RHTO_07213	RHTO_07213	Ribosome
M7XIE1	RHTO_03967	RHTO_03967	Ribosome
M7XIG2	RHTO_06728	RHTO_06728	Ribosome
M7XJ56	RHTO_03737	RHTO_03737	Ribosome
M7XK41	RHTO_06228	RHTO_06228	Ribosome
M7XK72	RHTO_06248	RHTO_06248	Ribosome
M7XKK7	RHTO_04592	RHTO_04592	Ribosome
M7XKU4	RHTO_02373	RHTO_02373	Ribosome
M7XLG8	RHTO_04904	RHTO_04904	Ribosome
M7XLJ9	RHTO_04929	RHTO_04929	Ribosome
M7XLS1	RHTO_02009	RHTO_02009	Ribosome
M7XLZ6	RHTO_05119	RHTO_05119	Ribosome
M7XM82	RHTO_02750	RHTO_02750	Ribosome
M7XMB1	RHTO_01759	RHTO_01759	Ribosome
M7XMP2	RHTO_01914	RHTO_01914	Ribosome
M7XP41	RHTO_01178	RHTO_01178	Ribosome
M7XPI9	RHTO_00242	RHTO_00242	Ribosome
M7XPZ4	RHTO_01017	RHTO_01017	Ribosome
M7XQ42	RHTO_01072	RHTO_01072	Ribosome
M7XQ75	RHTO_00632	RHTO_00632	Ribosome
M7XRG0	RHTO_08151	RHTO_08151	Ribosome
M7XSS5	RHTO_07600	RHTO_07600	Ribosome
M7XT68	RHTO_07157	RHTO_07157	Ribosome
M7XTM7	RHTO_07312	RHTO_07312	Ribosome
M7XTX7	RHTO_06742	RHTO_06742	Ribosome
M7XU45	RHTO_06792	RHTO_06792	Ribosome
M7XVS5	RHTO_06342	RHTO_06342	Ribosome
M7XWM2	RHTO_04837	RHTO_04837	Ribosome
M7XXD2	RHTO_05103	RHTO_05103	Ribosome
M7XXH0	RHTO_02689	RHTO_02689	Ribosome
M7XXM3	RHTO_02744	RHTO_02744	Ribosome
M7XYI4	RHTO_03081	RHTO_03081	Ribosome
M7XYR3	RHTO_03177	RHTO_03177	Ribosome
M7Y0C4	RHTO_00461	RHTO_00461	Ribosome
M7X560	RHTO_05714	RHTO_05714	TCA cycle
M7X6W8	RHTO_00534	RHTO_00534	TCA cycle
M7XF32	RHTO_00723	RHTO_00723	TCA cycle
M7XJJ4	RHTO_06068	RHTO_06068	TCA cycle
M7WR40	RHTO_07893	RHTO_07893	TCA cycle
M7X0P4	RHTO_06925	RHTO_06925	TCA cycle
M7X413	RHTO_02808	RHTO_02808	TCA cycle
M7XCY6	RHTO_01709	RHTO_01709	TCA cycle
M7WKF8	RHTO_02312	RHTO_02312	TCA cycle
M7WPA9	RHTO_04225	RHTO_04225	TCA cycle
M7XGI7	RHTO_07860	RHTO_07860	TCA cycle
M7XSC4	RHTO_07480	RHTO_07480	TCA cycle
M7WIG9	RHTO_03543	RHTO_03543	TCA cycle
M7WTI0	RHTO_01852	RHTO_01852	TCA cycle
M7WZJ7	RHTO_07250	RHTO_07250	TCA cycle
M7XMA7	RHTO_01754	RHTO_01754	TCA cycle
M7WJZ1	RHTO_06409	RHTO_06409	TCA cycle
M7X6X3	RHTO_00539	RHTO_00539	TCA cycle
M7WQ73	RHTO_08030	RHTO_08030	TCA cycle
M7XE29	RHTO_06406	RHTO_06406	TCA cycle
M7WZV2	RHTO_07345	RHTO_07345	TCA cycle
M7XEU6	RHTO_05746	RHTO_05746	TCA cycle
M7XE28	RHTO_01289	RHTO_01289	TCA cycle
M7WW42	RHTO_01290	RHTO_01290	TCA cycle
M7WN97	RHTO_04315	RHTO_04315	TCA cycle
M7WM30	RHTO_05264	RHTO_05264	TCA cycle
M7WVW2	RHTO_01205	RHTO_01205	TCA cycle
M7XHF8	RHTO_04363	RHTO_04363	TCA cycle
M7WQ86	RHTO_03745	RHTO_03745	TCA cycle
M7XNE0	RHTO_01350	RHTO_01350	TCA cycle
M7WMD7	RHTO_01732	RHTO_01732	TCA cycle
M7WS17	RHTO_02628	RHTO_02628	TCA cycle
M7WHC9	RHTO_03915	RHTO_03915	TCA cycle
M7XHV2	RHTO_07218	RHTO_07218	TCA cycle
