chain,FA,formula,MW,comp,Xexp_avg,Xexp_std,XNlim_avg,XNlim_std,Aexp_avg,Aexp_std,ANlim_avg,ANlim_std,GexpUrea_avg,GexpUrea_std,GNlimUrea_avg,GNlimUrea_std
16:0,palmitate,C16H32O2,256.42,c,0.2623851466960885,0.001130123299591761,0.28543523294326695,0.004844276201540686,0.1594697841472923,0.0010806161427224469,0.18702141184283572,0.007879747685681976,0.14705190430808945,0.001412252131825435,0.23442635668978634,0.005343393254736608
18:0,stearate,C18H36O2,284.48,c,0.05709638321218678,0.00035318968984338083,0.06175862512810237,0.0018526684059925822,0.1138699416856774,0.002570565982238259,0.12246049291424944,0.003525914493728521,0.0390932055208982,0.003183039654091773,0.07427225621484612,0.0019730338346543143
18:1,oleate,C18H34O2,282.46,c,0.4283716987251871,0.0015857458762097414,0.4352668318949235,0.004237082614600203,0.4279950732842042,0.030984881432271807,0.5222820666498225,0.005521490327354099,0.3160743286584602,0.010929718174248149,0.5365064112336608,0.0034977509287435217
18:2,linoleate,C18H32O2,280.44,c,0.20035044036309496,0.0035339720748440114,0.1670012602269159,0.0019820687984635882,0.23752716605172988,0.02475620293283305,0.1375157824932951,0.0009544405321578158,0.3869622649046912,0.007988084000871814,0.12310973545739802,0.00023507680437305975
18:3,linolenate,C18H30O2,278.43,c,0.03146540797197923,3.6809564018376836e-05,0.025305321932293026,0.0003443802207449965,0.061138034831096186,0.0077186283389545805,0.030720246099797184,0.00021321660324289705,0.11081829660786101,0.007536925959293649,0.024709999285256495,0.00043080299940915286
