uniprot	Gene_names	ANlim_1	ANlim_2
M7WPZ4	RHTO_03660	5.056120549676056e-06	3.3851724804014347e-06
M7WQR1	RHTO_03335	7.286633669714675e-08	6.356720992503863e-08
M7WWT1	RHTO_01039	5.20568330104671e-07	4.2421811988835135e-07
M7XMF9	RHTO_02821	5.244556172924026e-07	4.692274887383727e-07
M7XQE0	RHTO_00557	9.992973082553355e-09	9.265933999275136e-09
M7XJ39	RHTO_03722	1.56782145700569e-06	1.1796438273620083e-06
M7WPG7	RHTO_03764	9.88115287974982e-08	9.313977071347853e-08
M7X109	RHTO_06005	1.855939429159771e-07	1.5873965863078097e-07
M7WPA9	RHTO_04225	4.7535508485508616e-08	4.592620748524047e-08
M7X518	RHTO_03160	1.7965629100994042e-08	1.5778659329696582e-08
M7WW93	RHTO_00640	5.5001217498466346e-08	4.190340973632613e-08
M7WN16	RHTO_01157	4.816393032764392e-07	3.0071332984418867e-07
M7XED6	RHTO_05895	2.956560689513939e-07	2.0686745771817768e-07
M7XFF4	RHTO_00848		
M7WXZ0	RHTO_03226		1.3287095159799076e-07
M7XY00	RHTO_02886	1.106381194387902e-06	9.58262126757453e-07
M7WNB5	RHTO_01252	1.1975892534371316e-07	9.226354461491879e-08
M7X711	RHTO_00574	5.086207647585119e-07	5.50912109100026e-07
M7XT98	RHTO_07187	7.648826612591653e-07	6.079775908478417e-07
M7WLW1	RHTO_05567	9.141759074163175e-08	8.594575812478124e-08
M7WI49	RHTO_03696	8.186000008524425e-07	8.437535097802813e-07
M7X663	RHTO_00249		2.9571700940667053e-07
M7XVQ9	RHTO_06322	2.880296045367419e-07	2.433976323625263e-07
M7XUV9	RHTO_06037	7.847672066468225e-07	3.6676173622401605e-07
M7XN07	RHTO_01638	1.7960656694388521e-06	1.6227512533581095e-06
M7XL11	RHTO_02459	5.744539104545603e-08	4.794290138133403e-08
M7XNE0	RHTO_01350	1.3290116791484302e-08	1.4262254699450566e-08
M7XKN2	BNA1	9.266657842131721e-07	7.351850505097727e-07
M7WVH2	RHTO_01502	1.240746634745102e-07	9.796184121695848e-08
M7X3B2	RHTO_06643	3.452110530124653e-07	4.078554521985357e-07
M7WUX9	RHTO_04570	9.332937720199703e-07	6.930382630596367e-07
M7WTJ2	RHTO_06951	1.0668007031625651e-06	9.288727574512964e-07
M7WWB7	RHTO_00665	4.2095575593237796e-07	9.401195121428788e-08
M7WX59	RHTO_08019	3.855136841961675e-08	3.766389940401331e-08
M7XHW6	RHTO_07233	1.5596151104977277e-07	1.1528738752900195e-07
M7XMB1	RHTO_01759	2.920175057117641e-07	2.11932357341315e-07
M7X6N8	RHTO_00454	1.0797869964684017e-07	1.0822522228641604e-07
M7X0J9	RHTO_07364	2.5412409041712817e-08	2.1717122831571722e-08
M7X0S1	RHTO_06960	2.7817183536093243e-07	2.274666503361261e-07
M7WJ30	RHTO_03426	3.6084308347173505e-07	2.1380708688305292e-07
M7WFK5	RHTO_05149	8.313006820932357e-07	5.360763863974015e-07
M7WQU7	RHTO_03380	1.7258491761465906e-06	7.108844641568058e-07
M7XNT5	RHTO_00007	1.91564352654485e-07	1.8737029389302913e-07
M7WMD1	RHTO_05382	1.9094867849770407e-06	2.0453696118502664e-06
M7WSB4	RHTO_02270	3.285451839571991e-07	1.4713655666505843e-07
M7XDY7	RHTO_06451	1.647177784386014e-07	1.35636203707491e-07
M7XMB0	RHTO_02776	3.2000860132295884e-08	2.9619617346746017e-08
M7XLP8	RHTO_04999	1.3959764107470248e-07	1.582804400121106e-07
M7XQB5	RHTO_00677	2.4277656106171003e-07	3.621033681477767e-07
M7WZB1	RHTO_00410	1.7239407746207094e-07	1.7918232842808335e-07
M7X6J3	RHTO_00404	3.924893669458651e-08	3.15293385238692e-08
M7XET6	RHTO_01093	6.251871060075091e-06	6.9412346741338066e-06
M7WU89	RHTO_01921	5.028888054215575e-07	5.634319257178366e-07
